seed,size,mode,policy,success,generationMs,entries,intersections,candidateCount,candidateLengths,solverAttempts,timeoutChecks,viableTemplates,totalTemplates,validationErrors,qualityErrors,failureReason
"1","7","en_to_ar","approved-only","true","4.371041999998852","26","36","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"1","7","ar_to_en","approved-only","true","12.664625000001251","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"1","9","en_to_ar","approved-only","true","79.52683399999842","40","60","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"1","9","ar_to_en","approved-only","true","706.8393749999996","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","5","11","24","24","[]","[]",""
"1","11","en_to_ar","approved-only","true","12.540124999999534","59","85","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","1","0","6","6","[]","[]",""
"1","11","ar_to_en","approved-only","false","4502.396375","0","0","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","39","54","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"1","13","en_to_ar","approved-only","true","105.13450000000012","82","119","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","1","0","6","6","[]","[]",""
"1","13","ar_to_en","approved-only","false","4516.928957999997","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","134","45","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","7","en_to_ar","approved-only","true","4.590625000000728","26","35","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"2","7","ar_to_en","approved-only","true","6.667042000000947","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"2","9","en_to_ar","approved-only","true","1511.712707999999","42","60","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","2","22","6","6","[]","[]",""
"2","9","ar_to_en","approved-only","true","1533.694792000002","32","62","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","10","34","24","24","[]","[]",""
"2","11","en_to_ar","approved-only","false","1804.2032919999983","0","0","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","2","57","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","11","ar_to_en","approved-only","false","4503.091124999999","0","0","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","56","51","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","13","en_to_ar","approved-only","false","1805.8944579999952","0","0","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","2","55","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","13","ar_to_en","approved-only","false","4515.108999999997","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","142","42","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","7","en_to_ar","approved-only","true","4.0097919999971054","26","35","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"3","7","ar_to_en","approved-only","true","145.32891599999857","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","2","5","24","24","[]","[]",""
"3","9","en_to_ar","approved-only","true","16.812458000000333","40","59","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"3","9","ar_to_en","approved-only","true","1273.4708750000063","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","8","30","24","24","[]","[]",""
