seed,size,mode,policy,reason,solverAttempts,timeoutChecks,viableTemplates,validationErrors,qualityErrors
"1","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","39","54","24","[]","[]"
"1","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","134","45","24","[]","[]"
"2","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","57","6","[]","[]"
"2","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","56","51","24","[]","[]"
"2","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","55","6","[]","[]"
"2","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","142","42","24","[]","[]"
"3","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","48","57","24","[]","[]"
"3","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","31","6","[]","[]"
"3","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","132","48","24","[]","[]"
"4","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","138","42","24","[]","[]"
"5","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","14","6","[]","[]"
"5","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","54","56","24","[]","[]"
"5","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","74","6","[]","[]"
"5","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","157","45","24","[]","[]"
"6","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","57","6","[]","[]"
"6","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","46","63","24","[]","[]"
"6","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","63","6","[]","[]"
"6","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","139","40","24","[]","[]"
"7","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","46","54","24","[]","[]"
"7","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","108","44","24","[]","[]"
"8","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","63","6","[]","[]"
"8","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","116","45","24","[]","[]"
"9","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","37","6","[]","[]"
"9","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","43","50","24","[]","[]"
"9","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","41","6","[]","[]"
"9","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","148","43","24","[]","[]"
"10","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","50","57","24","[]","[]"
"10","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","127","49","24","[]","[]"
"11","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","50","6","[]","[]"
"11","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","39","74","24","[]","[]"
"11","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","62","6","[]","[]"
"11","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","178","38","24","[]","[]"
"12","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","50","6","[]","[]"
"12","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","128","45","24","[]","[]"
"13","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","31","6","[]","[]"
"13","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","48","55","24","[]","[]"
"13","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","120","45","24","[]","[]"
"14","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","45","6","[]","[]"
"14","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","48","6","[]","[]"
"14","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","156","45","24","[]","[]"
"15","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","125","43","24","[]","[]"
"16","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","71","24","[]","[]"
"16","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","73","6","[]","[]"
"16","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","130","42","24","[]","[]"
"17","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","43","64","24","[]","[]"
"17","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","59","6","[]","[]"
"17","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","136","44","24","[]","[]"
"18","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","51","6","[]","[]"
"18","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","43","64","24","[]","[]"
"18","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","117","45","24","[]","[]"
"19","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","50","51","24","[]","[]"
"19","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","141","40","24","[]","[]"
"20","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","31","6","[]","[]"
"20","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","66","24","[]","[]"
"20","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","55","70","24","[]","[]"
"20","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","29","6","[]","[]"
"20","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","149","38","24","[]","[]"
"21","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","55","6","[]","[]"
"21","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","53","62","24","[]","[]"
"21","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","120","43","24","[]","[]"
"22","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","40","63","24","[]","[]"
"22","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","66","6","[]","[]"
"22","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","140","42","24","[]","[]"
"23","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","49","63","24","[]","[]"
"23","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","163","40","24","[]","[]"
"24","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","36","6","[]","[]"
"24","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","163","39","24","[]","[]"
"25","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","63","24","[]","[]"
"25","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","61","54","24","[]","[]"
"25","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","146","44","24","[]","[]"
"26","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","40","6","[]","[]"
"26","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","44","64","24","[]","[]"
"26","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","150","43","24","[]","[]"
"27","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","54","66","24","[]","[]"
"27","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","164","44","24","[]","[]"
"28","7","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","137","24","[]","[]"
"28","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","43","6","[]","[]"
"28","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","38","56","24","[]","[]"
"28","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","65","6","[]","[]"
"28","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","183","42","24","[]","[]"
"29","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","51","55","24","[]","[]"
"29","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","152","45","24","[]","[]"
"30","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","72","24","[]","[]"
"30","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","64","61","24","[]","[]"
"30","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","168","40","24","[]","[]"
