policy,mode,size,length,indexedCandidates,uniqueCanonicalAnswers
"approved-only","en_to_ar","7","2","76","67"
"approved-only","en_to_ar","7","3","518","434"
"approved-only","en_to_ar","7","4","1033","910"
"approved-only","en_to_ar","7","5","1000","894"
"approved-only","en_to_ar","7","6","752","680"
"approved-only","en_to_ar","7","7","488","452"
"approved-only","en_to_ar","7","8","0","0"
"approved-only","en_to_ar","7","9","0","0"
"approved-only","en_to_ar","7","10","0","0"
"approved-only","en_to_ar","7","11","0","0"
"approved-only","en_to_ar","7","12","0","0"
"approved-only","en_to_ar","7","13","0","0"
"approved-only","en_to_ar","9","2","80","70"
"approved-only","en_to_ar","9","3","575","470"
"approved-only","en_to_ar","9","4","1220","1042"
"approved-only","en_to_ar","9","5","1235","1065"
"approved-only","en_to_ar","9","6","945","823"
"approved-only","en_to_ar","9","7","664","593"
"approved-only","en_to_ar","9","8","262","239"
"approved-only","en_to_ar","9","9","124","122"
"approved-only","en_to_ar","9","10","0","0"
"approved-only","en_to_ar","9","11","0","0"
"approved-only","en_to_ar","9","12","0","0"
"approved-only","en_to_ar","9","13","0","0"
"approved-only","en_to_ar","11","2","80","70"
"approved-only","en_to_ar","11","3","592","478"
"approved-only","en_to_ar","11","4","1256","1066"
"approved-only","en_to_ar","11","5","1317","1122"
"approved-only","en_to_ar","11","6","995","859"
"approved-only","en_to_ar","11","7","744","654"
"approved-only","en_to_ar","11","8","287","259"
"approved-only","en_to_ar","11","9","154","143"
"approved-only","en_to_ar","11","10","49","48"
"approved-only","en_to_ar","11","11","33","33"
"approved-only","en_to_ar","11","12","0","0"
"approved-only","en_to_ar","11","13","0","0"
"approved-only","en_to_ar","13","2","80","70"
"approved-only","en_to_ar","13","3","596","480"
"approved-only","en_to_ar","13","4","1265","1069"
"approved-only","en_to_ar","13","5","1342","1143"
"approved-only","en_to_ar","13","6","1010","868"
"approved-only","en_to_ar","13","7","781","682"
"approved-only","en_to_ar","13","8","302","272"
"approved-only","en_to_ar","13","9","167","152"
"approved-only","en_to_ar","13","10","51","49"
"approved-only","en_to_ar","13","11","34","34"
"approved-only","en_to_ar","13","12","25","24"
"approved-only","en_to_ar","13","13","7","7"
"approved-only","ar_to_en","7","2","15","15"
"approved-only","ar_to_en","7","3","182","182"
"approved-only","ar_to_en","7","4","392","392"
"approved-only","ar_to_en","7","5","398","398"
"approved-only","ar_to_en","7","6","408","408"
"approved-only","ar_to_en","7","7","456","456"
"approved-only","ar_to_en","7","8","0","0"
"approved-only","ar_to_en","7","9","0","0"
"approved-only","ar_to_en","7","10","0","0"
"approved-only","ar_to_en","7","11","0","0"
"approved-only","ar_to_en","7","12","0","0"
"approved-only","ar_to_en","7","13","0","0"
"approved-only","ar_to_en","9","2","15","15"
"approved-only","ar_to_en","9","3","182","182"
"approved-only","ar_to_en","9","4","392","392"
"approved-only","ar_to_en","9","5","398","398"
"approved-only","ar_to_en","9","6","408","408"
"approved-only","ar_to_en","9","7","456","456"
"approved-only","ar_to_en","9","8","220","220"
"approved-only","ar_to_en","9","9","201","201"
"approved-only","ar_to_en","9","10","0","0"
"approved-only","ar_to_en","9","11","0","0"
"approved-only","ar_to_en","9","12","0","0"
"approved-only","ar_to_en","9","13","0","0"
"approved-only","ar_to_en","11","2","15","15"
"approved-only","ar_to_en","11","3","182","182"
"approved-only","ar_to_en","11","4","392","392"
"approved-only","ar_to_en","11","5","398","398"
"approved-only","ar_to_en","11","6","408","408"
"approved-only","ar_to_en","11","7","456","456"
"approved-only","ar_to_en","11","8","220","220"
"approved-only","ar_to_en","11","9","201","201"
"approved-only","ar_to_en","11","10","75","75"
"approved-only","ar_to_en","11","11","79","79"
"approved-only","ar_to_en","11","12","0","0"
"approved-only","ar_to_en","11","13","0","0"
"approved-only","ar_to_en","13","2","15","15"
"approved-only","ar_to_en","13","3","182","182"
"approved-only","ar_to_en","13","4","392","392"
"approved-only","ar_to_en","13","5","398","398"
"approved-only","ar_to_en","13","6","408","408"
"approved-only","ar_to_en","13","7","456","456"
"approved-only","ar_to_en","13","8","220","220"
"approved-only","ar_to_en","13","9","201","201"
"approved-only","ar_to_en","13","10","75","75"
"approved-only","ar_to_en","13","11","79","79"
"approved-only","ar_to_en","13","12","18","18"
"approved-only","ar_to_en","13","13","33","33"
