"sourceId","originalDecision","revisedDecision","reason","confidence"
"1460:1","{""headwordIndex"":1460,""translationIndex"":1,""english"":""BOYS"",""original"":""ولاد"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""dialect"",""reason"":""BOYS — ولاد: This expression in the intended English sense is dialectal, not approved MSA. Exclude both directions without rewriting it. Second pass: ولاد is the colloquial shortened form in the boys relationship; the standard أولاد alternative exists separately. No rewrite or suppression of the valid relationship is needed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1460,""translationIndex"":1,""english"":""BOYS"",""original"":""ولاد"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""dialect"",""reason"":""ولاد is the colloquial boys form, not the standard أولاد entry. Keep rejection without rewriting."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","ولاد is the colloquial boys form, not the standard أولاد entry. Keep rejection without rewriting.","high"
"1419:3","{""headwordIndex"":1419,""translationIndex"":3,""english"":""SESSION"",""original"":""الدورة الثانية"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""SESSION — الدورة الثانية: الدورة الثانية adds second to session. The second-pass check must establish whether this materially misleading qualifier warrants exclusion. Second pass: الدورة الثانية introduces the unsupported ordinal second. It misleadingly narrows a general session clue; no evidence for that specific headword sense is present."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1419,""translationIndex"":3,""english"":""SESSION"",""original"":""الدورة الثانية"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""الدورة الثانية is a second session/course, not session without qualification. The extra ordinal is materially misleading for a generic clue."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","الدورة الثانية is a second session/course, not session without qualification. The extra ordinal is materially misleading for a generic clue.","high"
"1453:3","{""headwordIndex"":1453,""translationIndex"":3,""english"":""GERMAN"",""original"":""المانيا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""GERMAN — المانيا: The Arabic relationship is semantically wrong or demonstrably corrupted, rather than a valid alternative. Exclude both directions and preserve the source record. Second pass: المانيا names Germany, not German as language/person/adjective. This is a country-versus-demonym referent mismatch, not a natural inflection."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1453,""translationIndex"":3,""english"":""GERMAN"",""original"":""المانيا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""المانيا names Germany; German denotes language/person/adjective. This changes referent, not merely inflection."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","المانيا names Germany; German denotes language/person/adjective. This changes referent, not merely inflection.","high"
"1455:3","{""headwordIndex"":1455,""translationIndex"":3,""english"":""MATCH"",""original"":""مباراة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""contest"",""reasonCode"":""natural-preferred"",""reason"":""MATCH — مباراة (contest): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1455,""translationIndex"":3,""english"":""MATCH"",""original"":""مباراة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""contest"",""reasonCode"":""natural-preferred"",""reason"":""مباراة is a match/contest; a distinct valid sense, not the matching-action sense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","مباراة is a match/contest; a distinct valid sense, not the matching-action sense.","high"
"1366:3","{""headwordIndex"":1366,""translationIndex"":3,""english"":""AGENT"",""original"":""عميلة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""agent or operative"",""reasonCode"":""valid-alternative"",""reason"":""AGENT — عميلة (agent or operative): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1366,""translationIndex"":3,""english"":""AGENT"",""original"":""عميلة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""agent or operative"",""reasonCode"":""valid-alternative"",""reason"":""عميلة naturally denotes a female agent/operative; gender does not exclude either direction."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","عميلة naturally denotes a female agent/operative; gender does not exclude either direction.","high"
"1397:0","{""headwordIndex"":1397,""translationIndex"":0,""english"":""ABSTRACT"",""original"":""مجردة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""sense"":""not concrete"",""reasonCode"":""natural-preferred"",""reason"":""ABSTRACT — مجردة (not concrete): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1397,""translationIndex"":0,""english"":""ABSTRACT"",""original"":""مجردة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""sense"":""not concrete"",""reasonCode"":""natural-preferred"",""reason"":""مجردة is abstract feminine; preserve natural gender morphology."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","مجردة is abstract feminine; preserve natural gender morphology.","high"
"1444:3","{""headwordIndex"":1444,""translationIndex"":3,""english"":""FILTER"",""original"":""المرشح"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""filtering device"",""reasonCode"":""valid-alternative"",""reason"":""FILTER — المرشح (filtering device): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1444,""translationIndex"":3,""english"":""FILTER"",""original"":""المرشح"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""filtering device"",""reasonCode"":""valid-alternative"",""reason"":""المرشح can denote a filter device. Candidate ambiguity is an unrelated valid Arabic reading, not reverse exclusion evidence."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","المرشح can denote a filter device. Candidate ambiguity is an unrelated valid Arabic reading, not reverse exclusion evidence.","high"
"1167:0","{""headwordIndex"":1167,""translationIndex"":0,""english"":""FALL"",""original"":""سقوط"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""falling"",""reasonCode"":""natural-preferred"",""reason"":""FALL — سقوط (falling): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1167,""translationIndex"":0,""english"":""FALL"",""original"":""سقوط"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""sense"":""falling"",""reasonCode"":""natural-preferred"",""reason"":""سقوط names a fall/falling event; distinguish it from the autumn season."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","سقوط names a fall/falling event; distinguish it from the autumn season.","high"
"1654:2","{""headwordIndex"":1654,""translationIndex"":2,""english"":""FAN"",""original"":""المروحة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""cooling device"",""reasonCode"":""valid-alternative"",""reason"":""FAN — المروحة (cooling device): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1654,""translationIndex"":2,""english"":""FAN"",""original"":""المروحة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""cooling device"",""reasonCode"":""valid-alternative"",""reason"":""المروحة is the cooling-device fan, not an admirer. Noun and sense are clear."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","المروحة is the cooling-device fan, not an admirer. Noun and sense are clear.","high"
"1141:2","{""headwordIndex"":1141,""translationIndex"":2,""english"":""CONTRACT"",""original"":""العقد"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""agreement"",""reasonCode"":""valid-alternative"",""reason"":""CONTRACT — العقد (agreement): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1141,""translationIndex"":2,""english"":""CONTRACT"",""original"":""العقد"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""agreement"",""reasonCode"":""valid-alternative"",""reason"":""العقد is a contract/agreement. Arabic article is valid and nonpreference does not exclude it."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","العقد is a contract/agreement. Arabic article is valid and nonpreference does not exclude it.","high"
