"sourceId","english","arabic","before","after","reason","confidence","productionMetadataChanged"
"3069:1","BOOKING","جز","wrong-or-corrupt-relationship","batch004-qa-independent-pass","Shearing is not booking; the missing letter leaves an unrelated lexical item.","high","false"
"2841:1","SUGGESTED","رحت","wrong-or-corrupt-relationship","batch004-qa-independent-pass","Went and suggested are different verbs, not variants of one inflection.","high","false"
"1716:3","RUSSIAN","روسيا","wrong-or-corrupt-relationship","batch004-qa-independent-pass","Russia names the country, not a Russian person, language or adjective.","high","false"
"5493:0","TIN","تين","wrong-or-corrupt-relationship","batch004-qa-independent-pass","Figs and the metal tin are unrelated; phonetic similarity supplies no valid sense.","high","false"
"3853:2","LEG","القدم","wrong-or-corrupt-relationship","batch004-qa-independent-pass","Foot and leg denote different body parts in basic learner vocabulary.","high","false"
"1679:3","SPANISH","اسبانيا","wrong-or-corrupt-relationship","batch004-qa-independent-pass","Spain is a country rather than the language or adjective Spanish.","high","false"
"2811:0","DON","دون","register-review","batch004-qa-independent-pass","This may be a title transliteration or a distinct Arabic function word; the ordinary clothing verb is not supplied.","high","false"
"1958:0","PAPERBACK","غلاف ورقي","construction-or-sense-review","batch004-qa-independent-pass","Paper cover describes binding; the book noun needs contextual support.","high","false"
"2200:2","WHOLESALE","الجملة","construction-or-sense-review","batch004-qa-independent-pass","The isolated sentence/total noun needs the wholesale-trade construction.","high","false"
"2765:1","DOT","دوت","register-review","batch004-qa-independent-pass","Transliteration alone does not establish a natural MSA word for the point symbol.","high","false"
"2217:0","BROTHER","اخي","orthography-review","batch004-qa-independent-pass","Missing hamza and the possessive suffix require review; preserve text.","high","false"
"2295:1","ESTIMATED","تقديرات","construction-or-sense-review","batch004-qa-independent-pass","Estimates is a noun while estimated is participial; a linking construction is not supplied.","high","false"
"2734:3","CIRCUIT","دائرة الدائرة","unsuitable-pending-review","batch004-qa-independent-pass","Duplicated circuit genitive is not a natural standalone label; retain for repair.","high","false"
"4458:1","TOE","اصبع القدم","orthography-review","batch004-qa-independent-pass","Toe meaning is clear but the initial hamza is missing; do not silently correct it.","high","false"
"1823:0","STONE","ستون","register-review","batch004-qa-independent-pass","The form could be a name transliteration or Arabic sixty; neither establishes the material stone.","high","false"
"3969:0","JET","جيت","register-review","batch004-qa-independent-pass","This transliteration does not securely identify the standard jet-aircraft noun.","high","false"
"2609:1","TIP","تيب","register-review","batch004-qa-independent-pass","Borrowing/register needs support before approval as an MSA tip equivalent.","high","false"
"1740:1","SKIP","سكيب","register-review","batch004-qa-independent-pass","A transliteration is not enough evidence for a natural Arabic verb skip.","high","false"
"2317:0","MIX","ميكس","register-review","batch004-qa-independent-pass","The borrowing may occur commercially; natural MSA status remains unresolved.","high","false"
"3509:0","WOW","واو","register-review","batch004-qa-independent-pass","A common exclamation spelling, but register is not established by its popularity.","high","false"
"2687:0","HEY","هيه","register-review","batch004-qa-independent-pass","Interjection/register needs evidence; do not infer dialect merely from informal use.","high","false"
"5493:1","TIN","تن","register-review","batch004-qa-independent-pass","The intended metal reading is not established by this short form.","high","false"
"3784:0","MECHANISM","الالية","orthography-review","batch004-qa-independent-pass","Recognizable mechanism noun but initial madda is omitted.","high","false"
"2197:0","YESTERDAY","امس","orthography-review","batch004-qa-independent-pass","Yesterday is recognizable; the initial hamza is missing.","high","false"
"1927:1","BROUGHT","احضرت","orthography-review","batch004-qa-independent-pass","Brought is semantically recognizable, but the initial hamza is missing.","high","false"
"4141:1","EXHIBIT","معرض","construction-or-sense-review","batch004-qa-independent-pass","The word ordinarily names an exhibition/showroom; the individual exhibit sense needs support.","high","false"
"1656:0","INTERESTING","للاهتمام","unsuitable-pending-review","batch004-qa-independent-pass","The prepositional fragment lacks the adjective that would mean interesting.","high","false"
"2107:1","PROCEDURE","الاجراءات","orthography-review","batch004-qa-independent-pass","Hamza omission and plural presentation need review without changing source text.","high","false"
"2769:1","FEELING","الاحساس","orthography-review","batch004-qa-independent-pass","The MSA feeling/sensation noun is recognizable but lacks the initial hamza.","high","false"
"2107:2","PROCEDURE","اجراء","orthography-review","batch004-qa-independent-pass","The intended procedure noun has an omitted hamza; preserve pending orthographic review.","high","false"
"2322:2","CREDITS","الاعتمادات","orthography-review","batch004-qa-independent-pass","Credits/appropriations is recognizable but the initial hamza is missing.","high","false"
"2574:0","AGRICULTURE","الزراعة","valid-alternative","batch004-qa-independent-pass","Standard agriculture noun with a valid article variant; both directions remain allowed.","high","false"
"2099:1","ELEMENT","عنصر","natural-preferred","batch004-qa-independent-pass","Natural element noun; no one-to-one synonym requirement.","high","false"
"4029:1","JOY","فرحة","valid-alternative","batch004-qa-independent-pass","A natural joy noun variant; preference for another form is not exclusion.","high","false"
"1936:1","GUARANTEE","الضمان","valid-alternative","batch004-qa-independent-pass","Standard guarantee noun with article; valid even when another form is preferred.","high","false"
"1801:2","WIND","ريح","natural-preferred","batch004-qa-independent-pass","Natural singular/collective wind noun in MSA.","high","false"
"2942:1","TROUBLE","المشاكل","valid-alternative","batch004-qa-independent-pass","Problems is a natural Arabic rendering of uncountable trouble; number need not match mechanically.","high","false"
"3505:1","SIT","الجلوس","valid-alternative","batch004-qa-independent-pass","Arabic verbal-noun citation naturally represents the English action sit.","high","false"
"2572:4","EAT","تناول الطعام","natural-preferred","batch004-qa-independent-pass","The naturally spaced phrase expresses eating food; keep it as display text.","high","false"
"4927:1","JAM","المربى","valid-alternative","batch004-qa-independent-pass","Standard jam noun with article, not an excluded alternative.","high","false"
"1670:1","DIE","مت","valid-alternative","batch004-qa-independent-pass","Unvocalized مُت is the imperative die; morphology supports the verb mapping.","high","false"
"1883:1","MANUFACTURING","التصنيع","valid-alternative","batch004-qa-independent-pass","Natural manufacturing action noun with article.","high","false"
"3038:2","FOX","الثعلب","valid-alternative","batch004-qa-independent-pass","Standard fox noun; article does not make the relationship unsuitable.","high","false"
"1858:3","ICE","جليد","natural-preferred","batch004-qa-independent-pass","Natural frozen-water noun for ice.","high","false"
"1778:1","DOCUMENTATION","الوثائق","valid-alternative","batch004-qa-independent-pass","Documents collectively can denote documentation; this is a valid noun sense.","high","false"
"2899:1","RAW","خام","natural-preferred","batch004-qa-independent-pass","Raw as unprocessed material is naturally expressed by خام.","high","false"
"3009:0","CONTINUES","يستمر","natural-preferred","batch004-qa-independent-pass","يستمر naturally means continues.","high","false"
"4751:2","SAD","محزن","valid-alternative","batch004-qa-independent-pass","محزن expresses sad in sad news, distinct from feeling sad. Add a short relationship-specific sense to distinguish the causal adjective.","high","false"
"3046:1","ARM","الذراع","valid-alternative","batch004-qa-independent-pass","Standard arm noun with article.","high","false"
"5108:0","ODD","غريب","natural-preferred","batch004-qa-independent-pass","Odd in the strange sense is a natural adjective mapping.","high","false"
"3670:1","AFTERNOON","العصر","valid-alternative","batch004-qa-independent-pass","العصر naturally names the later afternoon period; a synonym does not exclude it.","high","false"
"2046:1","LANGUAGES","اللغات","valid-alternative","batch004-qa-independent-pass","Standard plural languages with article.","high","false"
"3258:1","CONTRIBUTIONS","المساهمات","valid-alternative","batch004-qa-independent-pass","Standard plural contributions with article.","high","false"
"3093:2","REQUIREMENT","اشتراط","valid-alternative","batch004-qa-independent-pass","Stipulation is a legitimate requirement sense; not excluded for being secondary.","high","false"
"1800:1","SOLD","بيعت","valid-alternative","batch004-qa-independent-pass","The passive past verb was sold naturally expresses sold.","high","false"
"3156:4","QUALIFIED","مؤهلون","valid-alternative","batch004-qa-independent-pass","The plural qualified form is a natural adjective with an implicit people referent.","high","false"
"1728:0","BASKET","السلة","valid-alternative","batch004-qa-independent-pass","Standard basket noun with article.","high","false"
"2689:0","BUILDINGS","المباني","valid-alternative","batch004-qa-independent-pass","Standard plural buildings noun.","high","false"
"1688:1","MONTHLY","شهرية","valid-alternative","batch004-qa-independent-pass","Feminine monthly is a legitimate adjective use, not a noun assignment.","high","false"
"1701:2","BOTTOM","أسفل","valid-alternative","batch004-qa-independent-pass","أسفل can name the lower part/bottom; retain the noun mapping.","high","false"
"1869:1","THINKING","التفكير","valid-alternative","batch004-qa-independent-pass","The verbal noun names thinking as an activity.","high","false"
"2760:0","OPTICAL","بصرية","valid-alternative","batch004-qa-independent-pass","Natural feminine optical adjective.","high","false"
"1668:0","GALLERIES","المعارض","valid-alternative","batch004-qa-independent-pass","Exhibition galleries are naturally represented by this plural noun.","high","false"
"2322:3","CREDITS","أرصدة دائنة","natural-preferred","batch004-qa-independent-pass","The phrase precisely identifies credit balances; the narrow sense is explicitly recorded.","high","false"
"2933:1","CONCERN","قلق","natural-preferred","batch004-qa-independent-pass","Concern as worry is correctly distinguished from a matter of concern.","high","false"
"1664:1","HITS","يضرب","natural-preferred","batch004-qa-independent-pass","The finite verb hits means strikes; this is separate from the plural noun.","high","false"
"2627:4","INSTANT","لحظة","natural-preferred","batch004-qa-independent-pass","An instant is a moment, distinct from the immediate adjective.","high","false"
"4628:1","LIE","الكذب","valid-alternative","batch004-qa-independent-pass","The action/falsehood noun is a legitimate lie sense, not reclining.","high","false"
"3338:0","RESERVATION","حجز","natural-preferred","batch004-qa-independent-pass","Reservation as booking is distinct from an expressed doubt.","high","false"
"2142:2","OPENING","افتتاح","natural-preferred","batch004-qa-independent-pass","The opening/inauguration noun is distinct from physically opening something.","high","false"
"2734:0","CIRCUIT","الدائرة","valid-alternative","batch004-qa-independent-pass","The electrical-circuit noun is valid and distinguished from a race circuit.","high","false"
"1984:0","HEARING","سماع","valid-alternative","batch004-qa-independent-pass","Sماع names hearing/listening activity, distinct from a formal hearing.","high","false"
"1984:2","HEARING","جلسة استماع","valid-alternative","batch004-qa-independent-pass","The naturally spaced phrase identifies a formal hearing.","high","false"
"2058:2","FINDING","العثور على","natural-preferred","batch004-qa-independent-pass","The finding action phrase is natural; preserve its preposition and spaces.","high","false"
"2196:0","HEADLINES","العناوين الرئيسية","natural-preferred","batch004-qa-independent-pass","Natural main-headlines phrase in MSA.","high","false"
"1973:1","PROVIDERS","مقدمو الخدمات","natural-preferred","batch004-qa-independent-pass","Providers of services is a natural explicit noun phrase for providers.","high","false"
"1826:0","RINGTONES","نغمات الرنين","natural-preferred","batch004-qa-independent-pass","Natural ringtone phrase with plural noun.","high","false"
"3643:1","ANNIVERSARY","الذكرى السنوية","natural-preferred","batch004-qa-independent-pass","Natural annual-anniversary noun phrase.","high","false"
"1765:1","MODULE","الوحدة النمطية","valid-alternative","batch004-qa-independent-pass","A standard technical module expression; common computing vocabulary need not be rejected as jargon.","high","false"
"3788:3","WELFARE","الرعاية الاجتماعية","natural-preferred","batch004-qa-independent-pass","The social-assistance sense is distinct from general well-being.","high","false"
"1886:1","FISHING","صيد الأسماك","natural-preferred","batch004-qa-independent-pass","The phrase explicitly means fishing rather than hunting generally.","high","false"
"3860:2","APPOINTED","عين","natural-preferred","batch004-qa-independent-pass","عيّن is the verb appointed with normal omitted vowel/shadda marks.","high","false"
"1979:1","GROWING","ينمو","valid-alternative","batch004-qa-independent-pass","The natural finite verb expresses the growing action; surface inflection is not exclusion.","high","false"
"1752:2","SELLING","يبيع","valid-alternative","batch004-qa-independent-pass","The finite verb expresses selling naturally; retain English verb sense.","high","false"
"2155:0","FOLLOWS","يلي","natural-preferred","batch004-qa-independent-pass","يلي means follows in sequence.","high","false"
