"sourceId","originalDecision","revisedDecision","reason","confidence"
"3069:1","{""headwordIndex"":3069,""translationIndex"":1,""english"":""BOOKING"",""original"":""جز"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""BOOKING — جز: جز means shearing/cutting, not reservation or booking; the missing initial letter leaves a different word. Second pass: The surviving Arabic word is shearing/cutting, whereas the same headword already supplies intact reservation relationships. Preserve the corrupt record but exclude it."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3069,""translationIndex"":1,""english"":""BOOKING"",""original"":""جز"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Shearing is not booking; the missing letter leaves an unrelated lexical item."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Shearing is not booking; the missing letter leaves an unrelated lexical item.","high"
"2841:1","{""headwordIndex"":2841,""translationIndex"":1,""english"":""SUGGESTED"",""original"":""رحت"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""SUGGESTED — رحت: رحت means went; it is not suggested. This is a distinct verb, not a natural inflection of suggest. Second pass: Went is a different verb from suggested; ordinary inflection does not connect these meanings. The intact participial alternatives remain available."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2841,""translationIndex"":1,""english"":""SUGGESTED"",""original"":""رحت"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Went and suggested are different verbs, not variants of one inflection."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Went and suggested are different verbs, not variants of one inflection.","high"
"1716:3","{""headwordIndex"":1716,""translationIndex"":3,""english"":""RUSSIAN"",""original"":""روسيا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""RUSSIAN — روسيا: روسيا names Russia, not the adjective/person/language Russian. The geographic entity is a materially different referent. Second pass: Second reading confirms a country name, not the person, language or adjective. Reject only this relationship; other Russian relationships remain valid."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1716,""translationIndex"":3,""english"":""RUSSIAN"",""original"":""روسيا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Russia names the country, not a Russian person, language or adjective."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Russia names the country, not a Russian person, language or adjective.","high"
"5493:0","{""headwordIndex"":5493,""translationIndex"":0,""english"":""TIN"",""original"":""تين"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""TIN — تين: تين means figs, not the metal tin. Do not accept phonetic resemblance as a translation. Second pass: Arabic figs and English tin metal are semantically unrelated. The phonetic resemblance does not support an alternative English sense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":5493,""translationIndex"":0,""english"":""TIN"",""original"":""تين"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Figs and the metal tin are unrelated; phonetic similarity supplies no valid sense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Figs and the metal tin are unrelated; phonetic similarity supplies no valid sense.","high"
"3853:2","{""headwordIndex"":3853,""translationIndex"":2,""english"":""LEG"",""original"":""القدم"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""LEG — القدم: القدم is foot, not leg; this is an anatomical referent mismatch, not a harmless synonym. Second pass: Foot is a distinct body part from leg in learner anatomy. This is not simply a morphology or synonym difference."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3853,""translationIndex"":2,""english"":""LEG"",""original"":""القدم"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Foot and leg denote different body parts in basic learner vocabulary."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Foot and leg denote different body parts in basic learner vocabulary.","high"
"1679:3","{""headwordIndex"":1679,""translationIndex"":3,""english"":""SPANISH"",""original"":""اسبانيا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""SPANISH — اسبانيا: اسبانيا names Spain, not Spanish; additionally its orthography needs review. Do not promote a place-name relationship as a demonym. Second pass: The country Spain and the language/demonym Spanish are distinct referents. Retain the source text and reject only this country-name relationship."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1679,""translationIndex"":3,""english"":""SPANISH"",""original"":""اسبانيا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Spain is a country rather than the language or adjective Spanish."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Spain is a country rather than the language or adjective Spanish.","high"
"2811:0","{""headwordIndex"":2811,""translationIndex"":0,""english"":""DON"",""original"":""دون"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""DON — دون: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2811,""translationIndex"":0,""english"":""DON"",""original"":""دون"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""This may be a title transliteration or a distinct Arabic function word; the ordinary clothing verb is not supplied."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","This may be a title transliteration or a distinct Arabic function word; the ordinary clothing verb is not supplied.","high"
"1958:0","{""headwordIndex"":1958,""translationIndex"":0,""english"":""PAPERBACK"",""original"":""غلاف ورقي"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""PAPERBACK — غلاف ورقي: غلاف ورقي denotes a paper cover; the dictionary may intend the binding rather than the book, so leave the standalone noun mapping unresolved."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1958,""translationIndex"":0,""english"":""PAPERBACK"",""original"":""غلاف ورقي"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Paper cover describes binding; the book noun needs contextual support."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Paper cover describes binding; the book noun needs contextual support.","high"
"2200:2","{""headwordIndex"":2200,""translationIndex"":2,""english"":""WHOLESALE"",""original"":""الجملة"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""construction-or-sense-review"",""reason"":""WHOLESALE — الجملة: الجملة needs the trading construction to establish wholesale rather than sentence; review rather than synonym restriction."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2200,""translationIndex"":2,""english"":""WHOLESALE"",""original"":""الجملة"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""The isolated sentence/total noun needs the wholesale-trade construction."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The isolated sentence/total noun needs the wholesale-trade construction.","high"
"2765:1","{""headwordIndex"":2765,""translationIndex"":1,""english"":""DOT"",""original"":""دوت"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""register-review"",""reason"":""DOT — دوت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2765,""translationIndex"":1,""english"":""DOT"",""original"":""دوت"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch004-qa-independent-pass"",""reason"":""Transliteration alone does not establish a natural MSA word for the point symbol."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Transliteration alone does not establish a natural MSA word for the point symbol.","high"
