"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","effectiveTranslation","sense"
"1858","0","ICE","ثلج","review","msa","medium","","","","","noun","construction-or-sense-review","ICE — ثلج: ثلج primarily supplies snow here; defer the ice/snow boundary rather than approve from a crossing need.","AI-assisted linguistic review","[]","1858:0","الجليد","false","{""arabic"":""ثلج"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1858","2","ICE","الثلج","review","msa","medium","","","","","noun","construction-or-sense-review","ICE — الثلج: The article does not resolve the ice/snow sense boundary; retain for review.","AI-assisted linguistic review","[]","1858:2","الجليد","false","{""arabic"":""الثلج"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""noun""}",""
"1663","3","TEN","العاشرة","review","msa","medium","","","","","adjective","construction-or-sense-review","TEN — العاشرة: العاشرة is ordinal tenth; the cardinal/ordinal difference needs clarification, not automatic approval.","AI-assisted linguistic review","[]","1663:3","عشرة.","false","{""arabic"":""العاشرة"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""adjective""}",""
"2621","1","SKI","سكي","review","uncertain","medium","","","","","noun","register-review","SKI — سكي: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2621:1","التزلج","false","{""arabic"":""سكي"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"1667","4","CAT","كات","review","uncertain","medium","","","","","noun","register-review","CAT — كات: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1667:4","القط","false","{""arabic"":""كات"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"1670","0","DIE","اموت","review","msa","medium","","","","","verb","orthography-review","DIE — اموت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1670:0","يموت","false","{""arabic"":""اموت"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"1719","0","GUY","غاي","review","uncertain","medium","","","","","uncertain","register-review","GUY — غاي: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1719:0","الرجل","false","{""arabic"":""غاي"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""uncertain""}",""
"2572","1","EAT","اكل","review","msa","medium","","","","","verb","orthography-review","EAT — اكل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2572:1","تناول الطعام","false","{""arabic"":""اكل"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"2572","5","EAT","ياكل","review","msa","medium","","","","","verb","orthography-review","EAT — ياكل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2572:5","تناول الطعام","false","{""arabic"":""ياكل"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""verb""}",""
"2710","0","SKY","السما","review","msa","medium","","","","","uncertain","orthography-review","SKY — السما: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2710:0","السماء","false","{""arabic"":""السما"",""status"":""review"",""register"":""msa"",""partOfSpeech"":""uncertain""}",""
"2710","2","SKY","سكاي","review","uncertain","medium","","","","","noun","register-review","SKY — سكاي: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2710:2","السماء","false","{""arabic"":""سكاي"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"2315","0","TAG","تاغ","review","uncertain","medium","","","","","noun","register-review","TAG — تاغ: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2315:0","وسم","false","{""arabic"":""تاغ"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
"2317","0","MIX","ميكس","review","uncertain","medium","","","","","noun","register-review","MIX — ميكس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2317:0","مزيج","false","{""arabic"":""ميكس"",""status"":""review"",""register"":""uncertain"",""partOfSpeech"":""noun""}",""
