"sourceId","english","arabic","field","before","after","reason","confidence","applied"
"2267:2","FALLS","السقوط","status","review","approved","Arabic السقوط naturally renders falls collectively, as in prevention of falls. Plural English versus Arabic action noun is not automatic exclusion; distinguish it from waterfalls.","high","true"
"2267:2","FALLS","السقوط","allowedForEnToAr","","true","Arabic السقوط naturally renders falls collectively, as in prevention of falls. Plural English versus Arabic action noun is not automatic exclusion; distinguish it from waterfalls.","high","true"
"2267:2","FALLS","السقوط","allowedForArToEn","","true","Arabic السقوط naturally renders falls collectively, as in prevention of falls. Plural English versus Arabic action noun is not automatic exclusion; distinguish it from waterfalls.","high","true"
"2267:2","FALLS","السقوط","preferredForEnToAr","","false","Arabic السقوط naturally renders falls collectively, as in prevention of falls. Plural English versus Arabic action noun is not automatic exclusion; distinguish it from waterfalls.","high","true"
"2267:2","FALLS","السقوط","preferredForArToEn","","false","Arabic السقوط naturally renders falls collectively, as in prevention of falls. Plural English versus Arabic action noun is not automatic exclusion; distinguish it from waterfalls.","high","true"
"2267:2","FALLS","السقوط","sense","","falling","Arabic السقوط naturally renders falls collectively, as in prevention of falls. Plural English versus Arabic action noun is not automatic exclusion; distinguish it from waterfalls.","high","true"
"3202:0","GENRE","النوع","status","review","approved","النوع legitimately expresses genre as kind/type. A broader valid Arabic equivalent is acceptable with crossings; allow both ways without forcing preference.","high","true"
"3202:0","GENRE","النوع","allowedForEnToAr","","true","النوع legitimately expresses genre as kind/type. A broader valid Arabic equivalent is acceptable with crossings; allow both ways without forcing preference.","high","true"
"3202:0","GENRE","النوع","allowedForArToEn","","true","النوع legitimately expresses genre as kind/type. A broader valid Arabic equivalent is acceptable with crossings; allow both ways without forcing preference.","high","true"
"3202:0","GENRE","النوع","preferredForEnToAr","","false","النوع legitimately expresses genre as kind/type. A broader valid Arabic equivalent is acceptable with crossings; allow both ways without forcing preference.","high","true"
"3202:0","GENRE","النوع","preferredForArToEn","","false","النوع legitimately expresses genre as kind/type. A broader valid Arabic equivalent is acceptable with crossings; allow both ways without forcing preference.","high","true"
"1970:3","DRUGS","المخدرات","preferredForEnToAr","false","true","المخدرات supplies the narcotics sense, distinct from therapeutic drugs.","high","true"
"1970:3","DRUGS","المخدرات","preferredForArToEn","false","true","المخدرات supplies the narcotics sense, distinct from therapeutic drugs.","high","true"
