"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","stratum","sense"
"1783","0","WHOSE","الذين","rejected","msa","high","false","false","false","false","pronoun","wrong-or-corrupt-relationship","WHOSE — الذين: الذين is a nonpossessive plural relative pronoun. Whose introduces possession; the supplied form omits that essential relation. Second pass: The relative pronoun omits the possession relation required by whose. A full sentence could add possession elsewhere, but the standalone relationship lacks it.","AI-assisted linguistic review","[]","rejected",""
"6749","0","UNCLE","عمو","rejected","dialect","high","false","false","false","false","noun","dialect","UNCLE — عمو: عمو is a colloquial/familiar uncle address form; standard عم is separately preserved and approved. Second pass: The familiar vocative عمو is colloquial. The natural MSA عم relationship already remains separately available.","AI-assisted linguistic review","[]","rejected",""
"5024","0","LIVER","كب","rejected","msa","high","false","false","false","false","uncertain","wrong-or-corrupt-relationship","LIVER — كب: كب is a verb such as poured/toppled, not the organ liver; deletion of د creates a different word. Second pass: The truncated spelling names no liver-organ sense. Under a standard Arabic reading it is an unrelated pouring/toppling verb.","AI-assisted linguistic review","[]","rejected",""
"2717","1","HIDE","تبي","rejected","dialect","high","false","false","false","false","verb","dialect","HIDE — تبي: تبي is a Gulf colloquial want expression, not MSA hide. Preserve but reject this relationship for dialect and meaning. Second pass: The Gulf colloquial verb means want, not hide. Both non-MSA register and wrong meaning support exclusion without rewriting.","AI-assisted linguistic review","[]","rejected",""
"2452","2","BATH","باث","review","uncertain","medium","","","","","uncertain","register-review","BATH — باث: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register",""
"3859","1","STEREO","ستيريو","review","uncertain","medium","","","","","noun","register-review","STEREO — ستيريو: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register",""
"2483","0","BETA","بيتا","review","uncertain","medium","","","","","noun","register-review","BETA — بيتا: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register",""
"3809","0","GRACE","جريس","review","uncertain","medium","","","","","uncertain","register-review","GRACE — جريس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register",""
"2400","1","ANIME","أنيمي","review","uncertain","medium","","","","","noun","register-review","ANIME — أنيمي: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register",""
"2158","0","CAMP","كامب","review","uncertain","medium","","","","","uncertain","register-review","CAMP — كامب: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register",""
"7061","2","OOPS","أوبس","review","uncertain","medium","","","","","interjection","register-review","OOPS — أوبس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register",""
"2212","2","FORT","فورت","review","uncertain","medium","","","","","uncertain","register-review","FORT — فورت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","register",""
"5528","4","RAT","فأر","review","msa","medium","","","","","noun","construction-or-sense-review","RAT — فأر: فأر most directly supplies mouse; broader rodent usage needs evidence before approval as rat.","AI-assisted linguistic review","[]","reference-conflict",""
"2914","0","LANE","لين","review","uncertain","medium","","","","","uncertain","register-review","LANE — لين: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","reference-conflict",""
"2267","2","FALLS","السقوط","review","msa","medium","","","","","noun","construction-or-sense-review","FALLS — السقوط: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","reference-conflict",""
"1704","2","DETAIL","التفاصيل","review","msa","medium","","","","","noun","construction-or-sense-review","DETAIL — التفاصيل: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","reference-conflict",""
"1731","4","INSTALLATION","تركيب التثبيت","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","INSTALLATION — تركيب التثبيت: تركيب التثبيت is a redundant compound, not a clean standalone installation label.","AI-assisted linguistic review","[]","reference-conflict",""
"2064","2","CLAIMS","2- المطالبات","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","CLAIMS — 2- المطالبات: The embedded 2- is an editorial enumeration marker, not part of the Arabic translation; do not silently strip it.","AI-assisted linguistic review","[]","reference-conflict",""
"3202","0","GENRE","النوع","review","msa","medium","","","","","noun","construction-or-sense-review","GENRE — النوع: النوع broadly means type; an artistic genre context is needed before treating this as a direct learner clue.","AI-assisted linguistic review","[]","reference-conflict",""
"2071","5","TOUCH","لمسة اللمس","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","TOUCH — لمسة اللمس: لمسة اللمس is a redundant genitive label rather than a natural standalone equivalent; preserve pending review.","AI-assisted linguistic review","[]","reference-conflict",""
"2166","2","FILL","املا","review","msa","medium","","","","","verb","orthography-review","FILL — املا: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2808","1","IDEAL","ديال","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","IDEAL — ديال: ديال is not a clear MSA equivalent of ideal. Keep withheld pending identity/register clarification; no invented repair.","AI-assisted linguistic review","[]","review",""
"1784","0","COVERAGE","الشمول","review","msa","medium","","","","","noun","construction-or-sense-review","COVERAGE — الشمول: الشمول means comprehensiveness/inclusion; coverage requires a supported context, unlike the direct التغطية.","AI-assisted linguistic review","[]","review",""
"1758","0","OLDER","الاقدم","review","msa","medium","","","","","adjective","orthography-review","OLDER — الاقدم: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"5758","1","BOMB","بله","review","msa","high","false","false","false","false","uncertain","unsuitable-pending-review","BOMB — بله: بله is not an established bomb equivalent; preserve the unidentified/corrupted form withheld.","AI-assisted linguistic review","[]","review",""
"2341","0","REVENUE","ايرادات","review","msa","medium","","","","","noun","orthography-review","REVENUE — ايرادات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"6580","1","BUTLER","بتلر","review","uncertain","medium","","","","","uncertain","register-review","BUTLER — بتلر: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","review",""
"2140","3","SORRY","آسفه","review","msa","medium","","","","","adjective","orthography-review","SORRY — آسفه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2001","1","ERRORS","اخطاء","review","msa","medium","","","","","noun","orthography-review","ERRORS — اخطاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2179","1","CLUBS","اندية","review","msa","medium","","","","","noun","orthography-review","CLUBS — اندية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","review",""
"2533","0","SAMPLES","العينات","approved","msa","high","true","true","false","false","noun","valid-alternative","SAMPLES — العينات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"2533","1","SAMPLES","عينات","approved","msa","high","true","true","true","true","noun","natural-preferred","SAMPLES — عينات: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","english-large-domain",""
"2832","2","EVIL","شر","approved","msa","high","true","true","true","true","noun","natural-preferred","EVIL — شر: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","english-large-domain",""
"2857","3","MIXED","المختلط","approved","msa","high","true","true","false","false","adjective","valid-alternative","MIXED — المختلط: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"3583","1","ACQUISITION","اقتناء","approved","msa","high","true","true","true","true","noun","natural-preferred","ACQUISITION — اقتناء: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","english-large-domain",""
"2607","0","RINGS","الحلقات","approved","msa","high","true","true","false","false","noun","valid-alternative","RINGS — الحلقات (loops): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain","loops"
"4603","3","CHRONIC","المزمن","approved","msa","high","true","true","false","false","adjective","valid-alternative","CHRONIC — المزمن: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"3158","3","LENS","العدسة","approved","msa","high","true","true","false","false","noun","valid-alternative","LENS — العدسة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"4696","1","PLEASED","مسرور","approved","msa","high","true","true","true","true","adjective","natural-preferred","PLEASED — مسرور: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","english-large-domain",""
"2812","0","PIECES","القطع","approved","msa","high","true","true","false","false","noun","valid-alternative","PIECES — القطع: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"7624","1","ENSURES","يضمن","approved","msa","high","true","true","true","true","verb","natural-preferred","ENSURES — يضمن: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","english-large-domain",""
"3131","1","LINEAR","خطي","approved","msa","high","true","true","true","true","adjective","natural-preferred","LINEAR — خطي: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","english-large-domain",""
"2244","4","DELETE","حذف","approved","msa","high","true","true","false","false","verb","valid-alternative","DELETE — حذف: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"2293","0","ATOM","ذرة","approved","msa","high","true","true","true","true","noun","natural-preferred","ATOM — ذرة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","english-large-domain",""
"2212","1","FORT","الحصن","approved","msa","high","true","true","false","false","noun","valid-alternative","FORT — الحصن: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"1785","2","COUPLE","ثنائي","approved","msa","high","true","true","false","false","noun","valid-alternative","COUPLE — ثنائي: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"1943","2","ALONE","وحيد","approved","msa","high","true","true","true","true","adjective","natural-preferred","ALONE — وحيد: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","english-large-domain",""
"2289","2","ADULTS","بالغين","approved","msa","high","true","true","false","false","noun","valid-alternative","ADULTS — بالغين: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","english-large-domain",""
"2071","3","TOUCH","اللمس","approved","msa","high","true","true","false","false","noun","valid-alternative","TOUCH — اللمس: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"2919","2","EXPORT","تصدير","approved","msa","high","true","true","true","true","noun","natural-preferred","EXPORT — تصدير: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","arabic-domain",""
"1912","0","CLAIM","ادعاء","approved","msa","high","true","true","false","false","noun","valid-alternative","CLAIM — ادعاء: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"3647","0","PEARL","اللؤلؤ","approved","msa","high","true","true","false","false","noun","valid-alternative","PEARL — اللؤلؤ: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"2272","1","STATED","ذكر","approved","msa","high","true","true","false","false","verb","valid-alternative","STATED — ذكر: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"1715","0","SWITCH","التبديل","approved","msa","high","true","true","false","false","noun","valid-alternative","SWITCH — التبديل: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"1903","1","CRIME","الجريمة","approved","msa","high","true","true","false","false","noun","valid-alternative","CRIME — الجريمة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"4937","3","ROUTINE","الروتينية","approved","msa","high","true","true","false","false","adjective","valid-alternative","ROUTINE — الروتينية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"2550","4","SLEEP","النوم","approved","msa","high","true","true","false","false","noun","valid-alternative","SLEEP — النوم: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"3861","1","TASTE","ذوق","approved","msa","high","true","true","false","false","noun","valid-alternative","TASTE — ذوق: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"3513","2","FLEXIBLE","مرن","approved","msa","high","true","true","true","true","adjective","natural-preferred","FLEXIBLE — مرن: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","arabic-domain",""
"2821","1","TRENDS","الاتجاهات","approved","msa","high","true","true","false","false","noun","valid-alternative","TRENDS — الاتجاهات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"2881","0","NOISE","ضجيج","approved","msa","high","true","true","true","true","noun","natural-preferred","NOISE — ضجيج: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","arabic-domain",""
"1782","3","CALLS","مكالمات","approved","msa","high","true","true","true","true","noun","natural-preferred","CALLS — مكالمات: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","arabic-domain",""
"3256","1","PILOT","طيار","approved","msa","high","true","true","true","true","noun","natural-preferred","PILOT — طيار: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","arabic-domain",""
"2176","0","CONTACTS","الاتصالات","approved","msa","high","true","true","false","false","noun","valid-alternative","CONTACTS — الاتصالات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","arabic-domain",""
"1904","0","COUNT","كونت","approved","msa","high","true","true","true","true","noun","natural-preferred","COUNT — كونت (noble title): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","noble title"
"2953","2","AGES","العصور","approved","msa","high","true","true","false","false","noun","valid-alternative","AGES — العصور (eras): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","eras"
"2607","2","RINGS","حلقات","approved","msa","high","true","true","false","false","noun","valid-alternative","RINGS — حلقات (loops): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","loops"
"1970","3","DRUGS","المخدرات","approved","msa","high","true","true","false","false","noun","valid-alternative","DRUGS — المخدرات (narcotics): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","narcotics"
"2031","2","RECOVERY","التعافي","approved","msa","high","true","true","true","true","noun","natural-preferred","RECOVERY — التعافي (return to health): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","return to health"
"2953","1","AGES","عصور","approved","msa","high","true","true","true","true","noun","natural-preferred","AGES — عصور (eras): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","eras"
"1902","2","MASS","قداس","approved","msa","high","true","true","true","true","noun","natural-preferred","MASS — قداس (religious service): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","sense","religious service"
"2682","3","APPEAL","الاستئناف","approved","msa","high","true","true","false","false","noun","valid-alternative","APPEAL — الاستئناف (legal challenge): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","legal challenge"
"2031","5","RECOVERY","الاسترداد","approved","msa","high","true","true","false","false","noun","valid-alternative","RECOVERY — الاسترداد (retrieval): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","retrieval"
"1989","1","DATES","المواعيد","approved","msa","high","true","true","false","false","noun","valid-alternative","DATES — المواعيد (appointments): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","sense","appointments"
"2355","0","SIGNS","العلامات","approved","msa","high","true","true","false","false","noun","valid-alternative","SIGNS — العلامات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"2706","4","DRESS","لباس","approved","msa","high","true","true","false","false","noun","valid-alternative","DRESS — لباس: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"6213","1","SILENCE","الصمت","approved","msa","high","true","true","false","false","noun","valid-alternative","SILENCE — الصمت: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"2227","1","BOAT","القارب","approved","msa","high","true","true","false","false","noun","valid-alternative","BOAT — القارب: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"2048","4","ORANGE","برتقالية","approved","msa","high","true","true","false","false","adjective","valid-alternative","ORANGE — برتقالية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"1662","1","IMPLEMENTATION","التنفيذ","approved","msa","high","true","true","false","false","noun","valid-alternative","IMPLEMENTATION — التنفيذ: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"4236","0","SHADOW","الظل","approved","msa","high","true","true","false","false","noun","valid-alternative","SHADOW — الظل: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"5337","0","HONEST","صادقة","approved","msa","high","true","true","false","false","adjective","valid-alternative","HONEST — صادقة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"2052","2","THEME","الموضوع","approved","msa","high","true","true","false","false","noun","valid-alternative","THEME — الموضوع: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"1761","1","ELEMENTS","العناصر","approved","msa","high","true","true","false","false","noun","valid-alternative","ELEMENTS — العناصر: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","nonpreferred",""
"2642","0","AHEAD","في المستقبل","approved","msa","high","true","true","true","true","adverb","natural-preferred","AHEAD — في المستقبل: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword",""
"7609","2","SUNRISE","شروق الشمس","approved","msa","high","true","true","true","true","noun","natural-preferred","SUNRISE — شروق الشمس: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","multiword",""
