"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"1107","0","SHOWN","يظهر","review","msa","medium","","","","","verb","construction-or-sense-review","SHOWN — يظهر: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1107:0","يظهر","true"
"1113","2","FLASH","فلاش","review","uncertain","medium","","","","","noun","register-review","FLASH — فلاش: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1113:2","فلاش","true"
"1125","3","FOREIGN","الأجانب","review","msa","medium","","","","","noun","construction-or-sense-review","FOREIGN — الأجانب: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1125:3","الأجانب","true"
"1146","0","SUPER","سوبر","review","uncertain","medium","","","","","adjective","register-review","SUPER — سوبر: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1146:0","سوبر","true"
"1153","0","LOCATED","الموقع","review","msa","medium","","","","","uncertain","construction-or-sense-review","LOCATED — الموقع: الموقع could be vocalized as situated, or mean location/site. Leave both POS and the intended reading unresolved.","AI-assisted linguistic review","[]","1153:0","الموقع","true"
"1161","1","POTENTIAL","الإمكانات المحتملة","review","msa","medium","","","","","noun","construction-or-sense-review","POTENTIAL — الإمكانات المحتملة: الإمكانات المحتملة is redundant potential possibilities; preserve for sense review without deleting words.","AI-assisted linguistic review","[]","1161:1","الإمكانات المحتملة","true"
"1168","2","FEATURED","المميزات","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","A potentially misleading or malformed relationship remains excluded pending review; a categorical rejection is not sufficiently established. Second pass: المميزات means features/advantages; a nominal featured-items construction is not established, but morphology alone is insufficient to reject. Keep excluded pending sense review.","AI-assisted linguistic review","[]","1168:2","المميزات","true"
"1216","2","THANK","شكراً","review","msa","medium","","","","","interjection","construction-or-sense-review","THANK — شكراً: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1216:2","شكراً","true"
"1244","5","MASTER","سيدي","review","msa","medium","","","","","noun","construction-or-sense-review","MASTER — سيدي: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1244:5","سيدي","true"
"1288","1","KIT","طقم عدة","review","msa","medium","","","","","noun","construction-or-sense-review","KIT — طقم عدة: طقم عدة is an awkward stacked set/equipment phrase; preserve it for human review.","AI-assisted linguistic review","[]","1288:1","طقم عدة","true"
