"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","sense"
"1081","0","MOVE","التحرك","approved","msa","high","true","true","false","false","verb","valid-alternative","MOVE — التحرك: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1081:0","تحركوا","false",""
"1081","1","MOVE","تحرك","approved","msa","high","true","true","true","true","verb","natural-preferred","MOVE — تحرك: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1081:1","تحركوا","false",""
"1081","2","MOVE","تحركوا","approved","msa","high","true","true","false","false","verb","valid-alternative","MOVE — تحركوا: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1081:2","تحركوا","false",""
"1082","0","CABLE","كيبل","review","uncertain","medium","","","","","noun","register-review","CABLE — كيبل: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1082:0","كابل","false",""
"1082","1","CABLE","الكابل","approved","msa","high","true","true","false","false","noun","valid-alternative","CABLE — الكابل: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1082:1","كابل","false",""
"1082","2","CABLE","كابل","approved","msa","high","true","true","true","true","noun","natural-preferred","CABLE — كابل: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1082:2","كابل","false",""
"1083","0","OPPORTUNITIES","فرص","approved","msa","high","true","true","true","true","noun","natural-preferred","OPPORTUNITIES — فرص: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1083:0","الفرص","false",""
"1083","1","OPPORTUNITIES","الفرص","approved","msa","high","true","true","false","false","noun","valid-alternative","OPPORTUNITIES — الفرص: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1083:1","الفرص","false",""
"1084","0","TAKING","اخذ","review","msa","medium","","","","","verb","orthography-review","TAKING — اخذ: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1084:0","أخذ","false",""
"1084","1","TAKING","أخذ","approved","msa","high","true","true","true","true","verb","natural-preferred","TAKING — أخذ: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1084:1","أخذ","false",""
"1085","0","VALUES","قيم","approved","msa","high","true","true","true","true","noun","natural-preferred","VALUES — قيم: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1085:0","قيم","false",""
"1085","1","VALUES","القيم","approved","msa","high","true","true","false","false","noun","valid-alternative","VALUES — القيم: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1085:1","قيم","false",""
"1086","0","DIVISION","شعبة","approved","msa","high","true","true","true","true","noun","natural-preferred","DIVISION — شعبة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1086:0","الشعبة","false",""
"1086","1","DIVISION","الشعبة","approved","msa","high","true","true","false","false","noun","valid-alternative","DIVISION — الشعبة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1086:1","الشعبة","false",""
"1087","0","COMING","ات","review","msa","medium","","","","","adjective","orthography-review","COMING — ات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1087:0","قادمة","false",""
"1087","1","COMING","قادمون","approved","msa","high","true","true","false","false","adjective","valid-alternative","COMING — قادمون: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1087:1","قادمة","false",""
"1087","2","COMING","قادم","approved","msa","high","true","true","true","true","adjective","natural-preferred","COMING — قادم: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1087:2","قادمة","false",""
"1087","3","COMING","قادمة","approved","msa","high","true","true","false","false","adjective","valid-alternative","COMING — قادمة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1087:3","قادمة","false",""
"1088","0","TUESDAY","الثلاثاء","approved","msa","high","true","true","true","true","noun","natural-preferred","TUESDAY — الثلاثاء: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1088:0","الثلاثاء,","false",""
"1089","0","OBJECT","الكائن","approved","msa","high","true","true","false","false","noun","valid-alternative","OBJECT — الكائن: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1089:0","كائن","false",""
"1089","1","OBJECT","جسم","approved","msa","high","true","true","true","true","noun","natural-preferred","OBJECT — جسم: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1089:1","كائن","false",""
"1089","2","OBJECT","كائن","approved","msa","high","true","true","false","false","noun","valid-alternative","OBJECT — كائن: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1089:2","كائن","false",""
"1090","0","LESBIAN","مثلية","approved","msa","high","true","true","true","true","adjective","natural-preferred","LESBIAN — مثلية: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1090:0","مثلية","false",""
"1091","0","APPROPRIATE","مناسب","approved","msa","high","true","true","true","true","adjective","natural-preferred","APPROPRIATE — مناسب: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1091:0","مناسب","false",""
"1092","0","MACHINE","الة","review","msa","medium","","","","","noun","orthography-review","MACHINE — الة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1092:0","آلة","false",""
"1092","1","MACHINE","ماكينة","approved","msa","high","true","true","false","false","noun","valid-alternative","MACHINE — ماكينة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1092:1","آلة","false",""
"1092","2","MACHINE","الالة","review","msa","medium","","","","","noun","orthography-review","MACHINE — الالة: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1092:2","آلة","false",""
"1092","3","MACHINE","الماكينة","approved","msa","high","true","true","false","false","noun","valid-alternative","MACHINE — الماكينة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1092:3","آلة","false",""
"1092","4","MACHINE","ماكنة","review","uncertain","medium","","","","","noun","register-review","MACHINE — ماكنة: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1092:4","آلة","false",""
"1092","5","MACHINE","آلة","approved","msa","high","true","true","true","true","noun","natural-preferred","MACHINE — آلة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1092:5","آلة","false",""
"1093","0","LOGO","شعار","approved","msa","high","true","true","true","true","noun","natural-preferred","LOGO — شعار: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1093:0","شعار","false",""
"1093","1","LOGO","الشعار","approved","msa","high","true","true","false","false","noun","valid-alternative","LOGO — الشعار: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1093:1","شعار","false",""
"1094","0","LENGTH","طول","approved","msa","high","true","true","true","true","noun","natural-preferred","LENGTH — طول: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1094:0","طول","false",""
"1094","1","LENGTH","الطول","approved","msa","high","true","true","false","false","noun","valid-alternative","LENGTH — الطول: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1094:1","طول","false",""
"1095","0","ACTUALLY","بالحقيقة","approved","msa","high","true","true","false","false","adverb","valid-alternative","ACTUALLY — بالحقيقة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1095:0","في الواقع","false",""
"1095","1","ACTUALLY","في الواقع","approved","msa","high","true","true","true","true","adverb","natural-preferred","ACTUALLY — في الواقع: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1095:1","في الواقع","false",""
"1096","0","NICE","حلو","approved","msa","high","true","true","false","false","adjective","valid-alternative","NICE — حلو: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1096:0","لطيف","false",""
"1096","1","NICE","جميل","approved","msa","high","true","true","false","false","adjective","valid-alternative","NICE — جميل: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1096:1","لطيف","false",""
"1096","2","NICE","لطيف","approved","msa","high","true","true","true","true","adjective","natural-preferred","NICE — لطيف: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1096:2","لطيف","false",""
"1097","0","SCORE","النتيجة","approved","msa","high","true","true","true","true","noun","natural-preferred","SCORE — النتيجة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1097:0","النتيجة","false",""
"1098","0","STATISTICS","احصاءات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — احصاءات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:0","الإحصاءات","false",""
"1098","1","STATISTICS","الاحصائيات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — الاحصائيات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:1","الإحصاءات","false",""
"1098","2","STATISTICS","الاحصاءات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — الاحصاءات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:2","الإحصاءات","false",""
"1098","3","STATISTICS","الاحصاء","review","msa","medium","","","","","noun","orthography-review","STATISTICS — الاحصاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:3","الإحصاءات","false",""
"1098","4","STATISTICS","احصائيات","review","msa","medium","","","","","noun","orthography-review","STATISTICS — احصائيات: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1098:4","الإحصاءات","false",""
"1098","5","STATISTICS","الإحصاءات","approved","msa","high","true","true","true","true","noun","natural-preferred","STATISTICS — الإحصاءات: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1098:5","الإحصاءات","false",""
"1099","0","CLIENT","عميل","approved","msa","high","true","true","true","true","noun","natural-preferred","CLIENT — عميل: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1099:0","العميل","false",""
"1099","1","CLIENT","العميل","approved","msa","high","true","true","false","false","noun","valid-alternative","CLIENT — العميل: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1099:1","العميل","false",""
"1099","2","CLIENT","زبون","approved","msa","high","true","true","false","false","noun","valid-alternative","CLIENT — زبون: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1099:2","العميل","false",""
"1099","3","CLIENT","الزبون","approved","msa","high","true","true","false","false","noun","valid-alternative","CLIENT — الزبون: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1099:3","العميل","false",""
"1100","0","OK","موافق","approved","msa","high","true","true","true","true","adjective","natural-preferred","OK — موافق: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1100:0","موافق","false",""
"1101","0","RETURNS","عوائد","approved","msa","high","true","true","true","true","noun","natural-preferred","RETURNS — عوائد (financial returns): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1101:0","المرتجعات","false","financial returns"
"1101","1","RETURNS","ترجع","approved","msa","high","true","true","false","false","verb","valid-alternative","RETURNS — ترجع (comes back): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1101:1","المرتجعات","false","comes back"
"1101","2","RETURNS","العائدات","approved","msa","high","true","true","false","false","noun","valid-alternative","RETURNS — العائدات (financial returns): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1101:2","المرتجعات","false","financial returns"
"1101","3","RETURNS","المرتجعات","approved","msa","high","true","true","false","false","noun","valid-alternative","RETURNS — المرتجعات (returned goods): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1101:3","المرتجعات","false","returned goods"
"1102","0","CAPITAL","العاصمة","approved","msa","high","true","true","false","false","noun","valid-alternative","CAPITAL — العاصمة (capital city): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1102:0","رأس المال","false","capital city"
