"headwordIndex","english","referenceArabic","referenceScore","orderScore","englishLength","arabicLengths","englishLengthScore","arabicLengthScore","englishPatterns","arabicPatterns","diagnosticGapScore","finalSelectionScore","oldStatus","initialStatus","finalStatus","reason","headwords","relationships","headwordStatus","relationshipStatus","register","allowedEnToAr","allowedArToEn","preferredEnToAr","preferredArToEn","restrictedEnToAr","restrictedArToEn","allowedNonpreferredArToEn","posAssignments","unresolvedPos","senseAssignments","multiword"
"1858","ICE","الجليد","100","70.72043950555626","3","[3,4,5,6]","18","8","[""E?I"",""EC?"",""I??""]","[]","35","205.72043950555627","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","4","{""approved"":1}","{""review"":2,""approved"":2}","{""msa"":4}","2","2","1","1","0","0","1","4","0","1","0"
"1663","TEN","عشرة.","100","71.69434386315396","3","[3,4,6,7]","18","8","[]","[""?شع""]","28","199.69434386315396","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","4","{""approved"":1}","{""approved"":3,""review"":1}","{""msa"":4}","3","3","1","1","0","0","2","4","0","0","0"
"2621","SKI","التزلج","100","66.90972655762268","3","[3,4,6]","18","8","[""?KS"",""I??""]","[]","32","198.90972655762266","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","3","{""approved"":1}","{""approved"":2,""review"":1}","{""msa"":2,""uncertain"":1}","2","2","1","1","0","0","1","3","0","0","0"
"1667","CAT","القط","100","71.6743663378699","3","[2,3,4,5]","18","8","[]","[]","26","197.6743663378699","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","5","{""approved"":1}","{""approved"":4,""review"":1}","{""msa"":4,""uncertain"":1}","4","4","1","1","0","0","3","5","0","0","0"
"1670","DIE","يموت","100","71.65938319390685","3","[2,4]","18","8","[]","[]","26","197.65938319390685","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","3","{""approved"":1}","{""review"":1,""approved"":2}","{""msa"":3}","2","2","1","1","0","0","1","3","0","0","0"
"1719","GUY","الرجل","100","71.41465850917717","3","[3,5]","18","8","[]","[]","26","197.41465850917717","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","2","{""approved"":1}","{""review"":1,""approved"":1}","{""uncertain"":1,""msa"":1}","1","1","1","1","0","0","0","1","1","0","0"
"1832","FIT","تناسب","100","70.85029341990261","3","[4,5]","18","8","[]","[]","26","196.8502934199026","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","2","{""approved"":1}","{""approved"":2}","{""msa"":2}","2","2","1","1","0","0","1","2","0","2","0"
"2572","EAT","تناول الطعام","100","67.15445124235235","3","[2,3,4,11]","18","8","[""EA?""]","[]","29","196.15445124235237","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","6","{""approved"":1}","{""approved"":4,""review"":2}","{""msa"":6}","4","4","1","1","0","0","3","6","0","0","1"
"2595","AIM","الهدف","100","67.03958047196903","3","[3,5,7]","18","8","[""A?M""]","[]","29","196.03958047196903","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","3","{""approved"":1}","{""approved"":3}","{""msa"":3}","3","3","1","1","0","0","2","3","0","3","0"
"2710","SKY","السماء","100","66.46522662005245","3","[4,5,6]","18","8","[""?KS""]","[]","29","195.46522662005245","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","4","{""approved"":1}","{""review"":2,""approved"":2}","{""msa"":3,""uncertain"":1}","2","2","1","1","0","0","1","3","1","0","0"
