"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","sense"
"1858","0","ICE","ثلج","review","msa","medium","","","","","noun","construction-or-sense-review","ICE — ثلج: ثلج primarily supplies snow here; defer the ice/snow boundary rather than approve from a crossing need.","AI-assisted linguistic review","[]","1858:0","الجليد","false",""
"1858","1","ICE","الجليد","approved","msa","high","true","true","false","false","noun","valid-alternative","ICE — الجليد (frozen water): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1858:1","الجليد","false","frozen water"
"1858","2","ICE","الثلج","review","msa","medium","","","","","noun","construction-or-sense-review","ICE — الثلج: The article does not resolve the ice/snow sense boundary; retain for review.","AI-assisted linguistic review","[]","1858:2","الجليد","false",""
"1858","3","ICE","جليد","approved","msa","high","true","true","true","true","noun","natural-preferred","ICE — جليد (frozen water): Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1858:3","الجليد","false","frozen water"
"1663","0","TEN","العشرة","approved","msa","high","true","true","false","false","noun","valid-alternative","TEN — العشرة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1663:0","عشرة.","false",""
"1663","1","TEN","عشرة","approved","msa","high","true","true","true","true","determiner","natural-preferred","TEN — عشرة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1663:1","عشرة.","false",""
"1663","2","TEN","عشر","approved","msa","high","true","true","false","false","determiner","valid-alternative","TEN — عشر: عشر is a grammatical form of ten, with gender agreement supplied by context; not a different number.","AI-assisted linguistic review","[]","1663:2","عشرة.","false",""
"1663","3","TEN","العاشرة","review","msa","medium","","","","","adjective","construction-or-sense-review","TEN — العاشرة: العاشرة is ordinal tenth; the cardinal/ordinal difference needs clarification, not automatic approval.","AI-assisted linguistic review","[]","1663:3","عشرة.","false",""
"2621","0","SKI","تزلج","approved","msa","high","true","true","true","true","verb","natural-preferred","SKI — تزلج: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2621:0","التزلج","false",""
"2621","1","SKI","سكي","review","uncertain","medium","","","","","noun","register-review","SKI — سكي: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2621:1","التزلج","false",""
"2621","2","SKI","التزلج","approved","msa","high","true","true","false","false","noun","valid-alternative","SKI — التزلج: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2621:2","التزلج","false",""
"1667","0","CAT","القط","approved","msa","high","true","true","false","false","noun","valid-alternative","CAT — القط: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1667:0","القط","false",""
"1667","1","CAT","قطة","approved","msa","high","true","true","false","false","noun","valid-alternative","CAT — قطة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1667:1","القط","false",""
"1667","2","CAT","قط","approved","msa","high","true","true","true","true","noun","natural-preferred","CAT — قط: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1667:2","القط","false",""
"1667","3","CAT","القطة","approved","msa","high","true","true","false","false","noun","valid-alternative","CAT — القطة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1667:3","القط","false",""
"1667","4","CAT","كات","review","uncertain","medium","","","","","noun","register-review","CAT — كات: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1667:4","القط","false",""
"1670","0","DIE","اموت","review","msa","medium","","","","","verb","orthography-review","DIE — اموت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1670:0","يموت","false",""
"1670","1","DIE","مت","approved","msa","high","true","true","false","false","verb","valid-alternative","DIE — مت: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1670:1","يموت","false",""
"1670","2","DIE","يموت","approved","msa","high","true","true","true","true","verb","natural-preferred","DIE — يموت: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1670:2","يموت","false",""
"1719","0","GUY","غاي","review","uncertain","medium","","","","","uncertain","register-review","GUY — غاي: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","1719:0","الرجل","false",""
"1719","1","GUY","الرجل","approved","msa","high","true","true","true","true","noun","natural-preferred","GUY — الرجل: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1719:1","الرجل","false",""
"1832","0","FIT","صالح","approved","msa","high","true","true","false","false","adjective","valid-alternative","FIT — صالح (suitable): صالح expresses suitable/fit for a purpose, a legitimate adjectival sense.","AI-assisted linguistic review","[]","1832:0","تناسب","false","suitable"
