"policy","size","mode","eligibleRelationshipsBeforeLengthLimits","indexedCandidates"
"compatibility","7","en_to_ar","28995","16364"
"compatibility","7","ar_to_en","28995","9828"
"compatibility","9","en_to_ar","28995","23811"
"compatibility","9","ar_to_en","28995","13518"
"compatibility","11","en_to_ar","28995","27293"
"compatibility","11","ar_to_en","28995","15239"
"compatibility","13","en_to_ar","28995","28549"
"compatibility","13","ar_to_en","28995","15794"
"approved-only","7","en_to_ar","4572","3057"
"approved-only","7","ar_to_en","4572","1429"
"approved-only","9","en_to_ar","4572","4118"
"approved-only","9","ar_to_en","4572","1801"
"approved-only","11","en_to_ar","4572","4415"
"approved-only","11","ar_to_en","4572","1917"
"approved-only","13","en_to_ar","4572","4536"
"approved-only","13","ar_to_en","4572","1958"
