priority,category,english,arabic,source_ids,reason,suggestion
"3","translation-review","THE","ال","h0:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","OF","من","h1:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","AND","وال","h2:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","AND","و","h2:t1","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","multiple-meanings","AND","وال | و","h2:t0 h2:t1","Alternative relationships preserved; choose preferred forms only after sense review",""
"3","translation-review","TO","من أجل","h3:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","A","أداة تنكير","h4:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","IN","في","h5:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","FOR","لاجل","h6:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","FOR","من أجل","h6:t1","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","multiple-meanings","FOR","لاجل | من أجل","h6:t0 h6:t1","Alternative relationships preserved; choose preferred forms only after sense review",""
"3","translation-review","IS","هو كذلك","h7:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","ON","على","h8:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","THAT","هذا","h9:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","THAT","ذلك","h9:t1","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","multiple-meanings","THAT","هذا | ذلك","h9:t0 h9:t1","Alternative relationships preserved; choose preferred forms only after sense review",""
"3","translation-review","BY","بواسطة","h10:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","THIS","هذا","h11:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","THIS","هذه","h11:t1","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","multiple-meanings","THIS","هذا | هذه","h11:t0 h11:t1","Alternative relationships preserved; choose preferred forms only after sense review",""
"3","translation-review","WITH","مع","h12:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","I","أولاً","h13:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","YOU","انت","h14:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","YOU","انتي","h14:t1","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","YOU","أنت.","h14:t2","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","multiple-meanings","YOU","انت | انتي | أنت.","h14:t0 h14:t1 h14:t2","Alternative relationships preserved; choose preferred forms only after sense review",""
"3","translation-review","IT","بل...","h15:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","NOT","ليس","h16:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","NOT","لا","h16:t1","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","NOT","وليس","h16:t2","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","NOT","مش","h16:t3","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","multiple-meanings","NOT","ليس | لا | وليس | مش","h16:t0 h16:t1 h16:t2 h16:t3","Alternative relationships preserved; choose preferred forms only after sense review",""
"3","translation-review","OR","أو","h17:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","ARE","نعم.","h18:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","FROM","من","h19:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","AT","في","h20:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","AS","حسب","h21:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","YOUR","تك","h22:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","YOUR","الخاص بك","h22:t1","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","multiple-meanings","YOUR","تك | الخاص بك","h22:t0 h22:t1","Alternative relationships preserved; choose preferred forms only after sense review",""
"3","translation-review","ALL","كلهم","h23:t0","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","ALL","كله","h23:t1","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","ALL","جميع","h23:t2","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","ALL","كل","h23:t3","Register/accuracy and direction suitability need human review; preferences left unset",""
"3","translation-review","ALL","الكل","h23:t4","Register/accuracy and direction suitability need human review; preferences left unset",""
