"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"2612","6","MINE","الألغام","review","msa","medium","","","","","noun","construction-or-sense-review","MINE — الألغام: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2612:6","الألغام","true"
"2186","4","PROFIT","الأرباح","review","msa","medium","","","","","noun","construction-or-sense-review","PROFIT — الأرباح: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2186:4","الأرباح","true"
"2011","0","URBAN","الحضر","review","msa","medium","","","","","noun","construction-or-sense-review","URBAN — الحضر: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2011:0","الحضر","true"
"2551","6","BIRD","الطيور","review","msa","medium","","","","","noun","construction-or-sense-review","BIRD — الطيور: الطيور is plural/class-level birds; presentation of an individual bird needs review.","AI-assisted linguistic review","[]","2551:6","الطيور","true"
"2508","1","POSTAL","البريد","review","msa","medium","","","","","noun","construction-or-sense-review","POSTAL — البريد: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2508:1","البريد","true"
"2071","5","TOUCH","لمسة اللمس","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","TOUCH — لمسة اللمس: لمسة اللمس is a redundant genitive label rather than a natural standalone equivalent; preserve pending review.","AI-assisted linguistic review","[]","2071:5","لمسة اللمس","true"
"3959","2","LUCK","حظ سعيد","review","msa","medium","","","","","noun","construction-or-sense-review","LUCK — حظ سعيد: حظ سعيد adds good to luck; suitable as a wish but the isolated noun mapping needs context.","AI-assisted linguistic review","[]","3959:2","حظ سعيد","true"
"2304","4","SCRIPT","سكربت","review","uncertain","medium","","","","","noun","register-review","SCRIPT — سكربت: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2304:4","سكربت","true"
"3603","2","DEPOSIT","إيداع الودائع","review","msa","medium","","","","","noun","construction-or-sense-review","DEPOSIT — إيداع الودائع: إيداع الودائع describes depositing deposits; the redundancy and action/object relationship need review.","AI-assisted linguistic review","[]","3603:2","إيداع الودائع","true"
"2243","1","ENDS","النهاية","review","msa","medium","","","","","noun","construction-or-sense-review","ENDS — النهاية: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2243:1","النهاية","true"
"4696","0","PLEASED","يسر","review","msa","medium","","","","","verb","construction-or-sense-review","PLEASED — يسر: يسر can be read pleases or is pleased depending on vocalization. The intended participial sense needs clarification.","AI-assisted linguistic review","[]","4696:0","يسر","true"
"2088","0","ONES","الواحدات","review","msa","medium","","","","","noun","construction-or-sense-review","ONES — الواحدات: الواحدات is not an established general substitute-pronoun equivalent without context; leave unresolved.","AI-assisted linguistic review","[]","2088:0","الواحدات","true"
"2064","2","CLAIMS","2- المطالبات","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","CLAIMS — 2- المطالبات: The embedded 2- is an editorial enumeration marker, not part of the Arabic translation; do not silently strip it.","AI-assisted linguistic review","[]","2064:2","2- المطالبات","true"
"3839","1","ROMAN","رومان","review","msa","medium","","","","","noun","construction-or-sense-review","ROMAN — رومان: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","3839:1","رومان","true"
"1704","2","DETAIL","التفاصيل","review","msa","medium","","","","","noun","construction-or-sense-review","DETAIL — التفاصيل: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","1704:2","التفاصيل","true"
"2075","0","HIRE","تأجير","review","msa","medium","","","","","verb","construction-or-sense-review","HIRE — تأجير: تأجير often denotes renting out rather than hiring/renting in. The direction of the transaction needs a supported context.","AI-assisted linguistic review","[]","2075:0","تأجير","true"
"9227","0","BORED","بالملل","review","msa","medium","","","","","adjective","construction-or-sense-review","BORED — بالملل: بالملل needs a feeling construction to express bored; the fragment alone is not a high-confidence adjective clue.","AI-assisted linguistic review","[]","9227:0","بالملل","true"
"5779","0","PAL","بال","review","msa","high","false","false","false","false","noun","unsuitable-pending-review","PAL — بال: بال means mind/state under standard readings, not friend; a transliteration interpretation does not establish a natural learner clue.","AI-assisted linguistic review","[]","5779:0","بال","true"
