"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"2612","2","MINE","الالغام","review","msa","medium","","","","","noun","orthography-review","MINE — الالغام: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2612:2","الألغام","false"
"2612","6","MINE","الألغام","review","msa","medium","","","","","noun","construction-or-sense-review","MINE — الألغام: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2612:6","الألغام","true"
"3334","0","RICE","الارز","review","msa","medium","","","","","noun","orthography-review","RICE — الارز: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3334:0","الأرز","false"
"3334","1","RICE","الرز","review","uncertain","medium","","","","","noun","register-review","RICE — الرز: This rice spelling may be a standard variant or informal convention; preserve for register evidence rather than assuming dialect.","AI-assisted linguistic review","[]","3334:1","الأرز","false"
"3334","2","RICE","رز","review","uncertain","medium","","","","","noun","register-review","RICE — رز: Do not infer MSA status merely from a familiar food-word variant; leave unresolved alongside the approved explicit الأرز.","AI-assisted linguistic review","[]","3334:2","الأرز","false"
"3334","3","RICE","ارز","review","msa","medium","","","","","noun","orthography-review","RICE — ارز: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3334:3","الأرز","false"
"3334","4","RICE","رايس","review","uncertain","medium","","","","","uncertain","register-review","RICE — رايس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3334:4","الأرز","false"
"2376","0","ORIGIN","الاصل","review","msa","medium","","","","","noun","orthography-review","ORIGIN — الاصل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2376:0","الأصل","false"
"2376","1","ORIGIN","اصل","review","msa","medium","","","","","noun","orthography-review","ORIGIN — اصل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2376:1","الأصل","false"
"2053","2","RICH","ريتش","review","uncertain","medium","","","","","uncertain","register-review","RICH — ريتش: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2053:2","غني","false"
"2087","0","GAVE","اعطى","review","msa","medium","","","","","verb","orthography-review","GAVE — اعطى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2087:0","أعطى","false"
"2087","2","GAVE","اعطيت","review","msa","medium","","","","","verb","orthography-review","GAVE — اعطيت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2087:2","أعطى","false"
"2253","4","BRAIN","عقل","review","msa","medium","","","","","noun","construction-or-sense-review","BRAIN — عقل: عقل denotes mind/intellect rather than the anatomical brain. The metonymic sense needs context before learner approval.","AI-assisted linguistic review","[]","2253:4","الدماغ","false"
"2571","0","GENDER","الجنسانية","review","msa","medium","","","","","noun","construction-or-sense-review","GENDER — الجنسانية: الجنسانية can refer to sexuality or gender-related attributes; this specialized semantic boundary needs evidence.","AI-assisted linguistic review","[]","2571:0","نوع الجنس","false"
"2452","2","BATH","باث","review","uncertain","medium","","","","","uncertain","register-review","BATH — باث: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2452:2","حمام","false"
"3438","1","DOUBT","اشك","review","msa","medium","","","","","verb","orthography-review","DOUBT — اشك: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3438:1","شك","false"
"2194","0","EXPECT","اتوقع","review","msa","medium","","","","","verb","orthography-review","EXPECT — اتوقع: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2194:0","توقع","false"
"2348","1","BEAR","بير","review","uncertain","medium","","","","","uncertain","register-review","BEAR — بير: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2348:1","الدب","false"
"2143","0","DAMAGE","الاضرار","review","msa","medium","","","","","noun","orthography-review","DAMAGE — الاضرار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2143:0","الضرر","false"
"2143","1","DAMAGE","اضرار","review","msa","medium","","","","","noun","orthography-review","DAMAGE — اضرار: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2143:1","الضرر","false"
"2150","2","SNOW","سنو","review","uncertain","medium","","","","","uncertain","register-review","SNOW — سنو: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2150:2","ثلج","false"
"1720","1","TITLES","الالقاب","review","msa","medium","","","","","noun","orthography-review","TITLES — الالقاب: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1720:1","العناوين","false"
"1720","3","TITLES","القاب","review","msa","medium","","","","","noun","orthography-review","TITLES — القاب: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","1720:3","العناوين","false"
"1784","0","COVERAGE","الشمول","review","msa","medium","","","","","noun","construction-or-sense-review","COVERAGE — الشمول: الشمول means comprehensiveness/inclusion; coverage requires a supported context, unlike the direct التغطية.","AI-assisted linguistic review","[]","1784:0","التغطية","false"
"2048","0","ORANGE","اورانج","review","uncertain","medium","","","","","uncertain","register-review","ORANGE — اورانج: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2048:0","البرتقال","false"
"3420","1","SEEMED","بدى","review","msa","medium","","","","","verb","orthography-review","SEEMED — بدى: بدى is not the intended standard spelling بدا for seemed; preserve for orthographic review.","AI-assisted linguistic review","[]","3420:1","بدا","false"
