"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict","sense"
"2451","0","SECRET","سر","approved","msa","high","true","true","true","true","noun","natural-preferred","SECRET — سر: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2451:0","سر","false",""
"2451","1","SECRET","سري","approved","msa","high","true","true","true","true","adjective","natural-preferred","SECRET — سري: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2451:1","سر","false",""
"2451","2","SECRET","السر","approved","msa","high","true","true","false","false","noun","valid-alternative","SECRET — السر: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2451:2","سر","false",""
"2451","3","SECRET","سرية","approved","msa","high","true","true","false","false","adjective","valid-alternative","SECRET — سرية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2451:3","سر","false",""
"3131","0","LINEAR","خطية","approved","msa","high","true","true","false","false","adjective","valid-alternative","LINEAR — خطية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","3131:0","خطي","false",""
"3131","1","LINEAR","خطي","approved","msa","high","true","true","true","true","adjective","natural-preferred","LINEAR — خطي: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","3131:1","خطي","false",""
"3131","2","LINEAR","الخطي","approved","msa","high","true","true","false","false","adjective","valid-alternative","LINEAR — الخطي: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","3131:2","خطي","false",""
"2612","0","MINE","لي","approved","msa","high","true","true","false","false","pronoun","valid-alternative","MINE — لي: لي can express possession (it is mine). Natural Arabic need not preserve an identical pronoun construction; valid synonyms remain permitted.","AI-assisted linguistic review","[]","2612:0","الألغام","false",""
"2612","1","MINE","ملكي","approved","msa","high","true","true","true","true","pronoun","natural-preferred","MINE — ملكي: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2612:1","الألغام","false",""
"2612","2","MINE","الالغام","review","msa","medium","","","","","noun","orthography-review","MINE — الالغام: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2612:2","الألغام","false",""
"2612","3","MINE","لغم","approved","msa","high","true","true","true","true","noun","natural-preferred","MINE — لغم (explosive device): لغم is the explosive device, distinct from an excavation. Both are legitimate English noun senses.","AI-assisted linguistic review","[]","2612:3","الألغام","false","explosive device"
"2612","4","MINE","منجم","approved","msa","high","true","true","true","true","noun","natural-preferred","MINE — منجم (excavation): منجم is an excavation for minerals, distinct from the explosive device.","AI-assisted linguistic review","[]","2612:4","الألغام","false","excavation"
"2612","5","MINE","اللغم","approved","msa","high","true","true","false","false","noun","valid-alternative","MINE — اللغم (explosive device): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2612:5","الألغام","false","explosive device"
"2612","6","MINE","الألغام","review","msa","medium","","","","","noun","construction-or-sense-review","MINE — الألغام: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","2612:6","الألغام","true",""
"3334","0","RICE","الارز","review","msa","medium","","","","","noun","orthography-review","RICE — الارز: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3334:0","الأرز","false",""
"3334","1","RICE","الرز","review","uncertain","medium","","","","","noun","register-review","RICE — الرز: This rice spelling may be a standard variant or informal convention; preserve for register evidence rather than assuming dialect.","AI-assisted linguistic review","[]","3334:1","الأرز","false",""
"3334","2","RICE","رز","review","uncertain","medium","","","","","noun","register-review","RICE — رز: Do not infer MSA status merely from a familiar food-word variant; leave unresolved alongside the approved explicit الأرز.","AI-assisted linguistic review","[]","3334:2","الأرز","false",""
"3334","3","RICE","ارز","review","msa","medium","","","","","noun","orthography-review","RICE — ارز: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","3334:3","الأرز","false",""
"3334","4","RICE","رايس","review","uncertain","medium","","","","","uncertain","register-review","RICE — رايس: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","3334:4","الأرز","false",""
"3334","5","RICE","الأرز","approved","msa","high","true","true","true","true","noun","natural-preferred","RICE — الأرز: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","3334:5","الأرز","false",""
"2376","0","ORIGIN","الاصل","review","msa","medium","","","","","noun","orthography-review","ORIGIN — الاصل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2376:0","الأصل","false",""
"2376","1","ORIGIN","اصل","review","msa","medium","","","","","noun","orthography-review","ORIGIN — اصل: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2376:1","الأصل","false",""
"2376","2","ORIGIN","الأصل","approved","msa","high","true","true","true","true","noun","natural-preferred","ORIGIN — الأصل: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2376:2","الأصل","false",""
"2053","0","RICH","ثريا","approved","msa","high","true","true","false","false","adjective","valid-alternative","RICH — ثريا: ثريا can be the unvocalized accusative ثريًا, rich. Its proper-name homograph is not automatic exclusion.","AI-assisted linguistic review","[]","2053:0","غني","false",""
"2053","1","RICH","غني","approved","msa","high","true","true","false","false","adjective","valid-alternative","RICH — غني: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2053:1","غني","false",""
"2053","2","RICH","ريتش","review","uncertain","medium","","","","","uncertain","register-review","RICH — ريتش: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","2053:2","غني","false",""
"2053","3","RICH","الغنية","approved","msa","high","true","true","false","false","adjective","valid-alternative","RICH — الغنية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2053:3","غني","false",""
"2053","4","RICH","ثري","approved","msa","high","true","true","true","true","adjective","natural-preferred","RICH — ثري: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2053:4","غني","false",""
"2053","5","RICH","غنية","approved","msa","high","true","true","false","false","adjective","valid-alternative","RICH — غنية: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2053:5","غني","false",""
"2087","0","GAVE","اعطى","review","msa","medium","","","","","verb","orthography-review","GAVE — اعطى: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2087:0","أعطى","false",""
"2087","1","GAVE","وهب","approved","msa","high","true","true","false","false","verb","valid-alternative","GAVE — وهب: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2087:1","أعطى","false",""
"2087","2","GAVE","اعطيت","review","msa","medium","","","","","verb","orthography-review","GAVE — اعطيت: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","2087:2","أعطى","false",""
"2087","3","GAVE","أعطى","approved","msa","high","true","true","true","true","verb","natural-preferred","GAVE — أعطى: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2087:3","أعطى","false",""
"1925","0","TASK","المهمة","approved","msa","high","true","true","true","true","noun","natural-preferred","TASK — المهمة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1925:0","المهمة","false",""
"2224","0","DISC","قرص","approved","msa","high","true","true","true","true","noun","natural-preferred","DISC — قرص: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2224:0","القرص","false",""
"2224","1","DISC","القرص","approved","msa","high","true","true","false","false","noun","valid-alternative","DISC — القرص: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2224:1","القرص","false",""
"2253","0","BRAIN","الدماغ","approved","msa","high","true","true","false","false","noun","valid-alternative","BRAIN — الدماغ: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2253:0","الدماغ","false",""
"2253","1","BRAIN","دماغ","approved","msa","high","true","true","true","true","noun","natural-preferred","BRAIN — دماغ: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2253:1","الدماغ","false",""
"2253","2","BRAIN","المخ","approved","msa","high","true","true","false","false","noun","valid-alternative","BRAIN — المخ: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2253:2","الدماغ","false",""
"2253","3","BRAIN","مخ","approved","msa","high","true","true","false","false","noun","valid-alternative","BRAIN — مخ: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2253:3","الدماغ","false",""
"2253","4","BRAIN","عقل","review","msa","medium","","","","","noun","construction-or-sense-review","BRAIN — عقل: عقل denotes mind/intellect rather than the anatomical brain. The metonymic sense needs context before learner approval.","AI-assisted linguistic review","[]","2253:4","الدماغ","false",""
"1678","0","PARENT","الوالد","approved","msa","high","true","true","true","true","noun","natural-preferred","PARENT — الوالد: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1678:0","الوالد","false",""
"2244","0","DELETE","يحذف","approved","msa","high","true","true","true","true","verb","natural-preferred","DELETE — يحذف: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2244:0","حذف","false",""
"2244","1","DELETE","الحذف","approved","msa","high","true","true","false","false","verb","valid-alternative","DELETE — الحذف: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2244:1","حذف","false",""
"2244","2","DELETE","احذف","approved","msa","high","true","true","false","false","verb","valid-alternative","DELETE — احذف: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2244:2","حذف","false",""
"2244","3","DELETE","تحذف","approved","msa","high","true","true","false","false","verb","valid-alternative","DELETE — تحذف: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2244:3","حذف","false",""
"2244","4","DELETE","حذف","approved","msa","high","true","true","false","false","verb","valid-alternative","DELETE — حذف: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2244:4","حذف","false",""
"1952","0","FUEL","وقود","approved","msa","high","true","true","true","true","noun","natural-preferred","FUEL — وقود: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1952:0","الوقود","false",""
"1952","1","FUEL","الوقود","approved","msa","high","true","true","false","false","noun","valid-alternative","FUEL — الوقود: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1952:1","الوقود","false",""
"2571","0","GENDER","الجنسانية","review","msa","medium","","","","","noun","construction-or-sense-review","GENDER — الجنسانية: الجنسانية can refer to sexuality or gender-related attributes; this specialized semantic boundary needs evidence.","AI-assisted linguistic review","[]","2571:0","نوع الجنس","false",""
"2571","1","GENDER","نوع الجنس","approved","msa","high","true","true","true","true","noun","natural-preferred","GENDER — نوع الجنس: نوع الجنس is a natural established gender category expression; retain the spaces.","AI-assisted linguistic review","[]","2571:1","نوع الجنس","false",""
"2832","0","EVIL","الشر","approved","msa","high","true","true","false","false","noun","valid-alternative","EVIL — الشر: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2832:0","الشر","false",""
"2832","1","EVIL","شرا","approved","msa","high","true","true","false","false","noun","valid-alternative","EVIL — شرا: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2832:1","الشر","false",""
"2832","2","EVIL","شر","approved","msa","high","true","true","true","true","noun","natural-preferred","EVIL — شر: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2832:2","الشر","false",""
"2039","0","EXPERT","خبير","approved","msa","high","true","true","true","true","noun","natural-preferred","EXPERT — خبير: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2039:0","خبير","false",""
"2039","1","EXPERT","الخبير","approved","msa","high","true","true","false","false","noun","valid-alternative","EXPERT — الخبير: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2039:1","خبير","false",""
"2039","2","EXPERT","خبيرة","approved","msa","high","true","true","false","false","noun","valid-alternative","EXPERT — خبيرة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2039:2","خبير","false",""
"2039","3","EXPERT","الخبيرة","approved","msa","high","true","true","false","false","noun","valid-alternative","EXPERT — الخبيرة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2039:3","خبير","false",""
"2413","0","WIRE","السلك","approved","msa","high","true","true","false","false","noun","valid-alternative","WIRE — السلك: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2413:0","سلك","false",""
"2413","1","WIRE","سلك","approved","msa","high","true","true","true","true","noun","natural-preferred","WIRE — سلك: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2413:1","سلك","false",""
"1997","0","LIMIT","الحد","approved","msa","high","true","true","false","false","noun","valid-alternative","LIMIT — الحد: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","1997:0","حد","false",""
"1997","1","LIMIT","حد","approved","msa","high","true","true","true","true","noun","natural-preferred","LIMIT — حد: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1997:1","حد","false",""
"2204","0","CODES","رموز","approved","msa","high","true","true","true","true","noun","natural-preferred","CODES — رموز: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","2204:0","رموز","false",""
"2204","1","CODES","الرموز","approved","msa","high","true","true","false","false","noun","valid-alternative","CODES — الرموز: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion.","AI-assisted linguistic review","[]","2204:1","رموز","false",""
"1849","0","EASILY","بسهولة","approved","msa","high","true","true","true","true","adverb","natural-preferred","EASILY — بسهولة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed.","AI-assisted linguistic review","[]","1849:0","بسهولة","false",""
