"headwordIndex","english","referenceArabic","englishLength","arabicLengths","learnerScore","qualityPotential","domainScore","matchedDomainIds","matchedPatterns","failedSeedsHelped","domainFamilies","finalSelectionScore","oldStatus","initialStatus","finalStatus","reason","headwords","relationships","headwordStatus","relationshipStatus","register","allowedEnToAr","allowedArToEn","preferredEnToAr","preferredArToEn","restrictedEnToAr","restrictedArToEn","allowedNonpreferredArToEn","posAssignments","unresolvedPos","senseAssignments","multiword"
"2451","SECRET","سر","6","[2,3,4]","135.94697820714447","2","35","[""dbfd1d39faa14771"",""ca1be5e7be0e81be"",""117a8289c195e9b0"",""9a354db9cc456d46"",""201ff8b9feb54b7c"",""8b0d50fa4483faf9""]","[""11:ar_to_en:??????"",""11:en_to_ar:?س"",""11:en_to_ar:س?"",""9:en_to_ar:س?"",""9:en_to_ar:?س"",""11:en_to_ar:ير?""]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30]","[""ar_to_en:6"",""en_to_ar:2"",""en_to_ar:3""]","172.94697820714447","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","4","{""approved"":1}","{""approved"":4}","{""msa"":4}","4","4","2","2","0","0","2","4","0","0","0"
"3131","LINEAR","خطي","6","[3,4,5]","131.18300526213213","2","35","[""08632315e9b92ec0"",""56c50503a634743f"",""5fc331f1ac752a54"",""7331c6bb447a2723"",""26010c45ba7507d2"",""3687d4340d942c08"",""538232ad30dbb2cc"",""f52aa235b943a764"",""d4616716ab5b9313"",""65d290baeb07292e""]","[""11:ar_to_en:??N???"",""11:ar_to_en:??E???"",""11:ar_to_en:??????"",""11:en_to_ar:يط???"",""9:en_to_ar:يط?""]","[2,4,5,6,7,8,18,19,20,23,24,30]","[""ar_to_en:6"",""en_to_ar:5"",""en_to_ar:3""]","168.18300526213213","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","3","{""approved"":1}","{""approved"":3}","{""msa"":3}","3","3","1","1","0","0","2","3","0","0","0"
"2612","MINE","الألغام","4","[2,3,4,5,7]","134.6921075455334","2","30.266364716150715","[""f66b7dbc9e785d64"",""ce1e54d06bfa37b8"",""0d91cf08399bfc02"",""9127ee6b2801c19e"",""6bc8d969aa20c581"",""73e6970e3237d437"",""000cbad72da03ad0"",""095ada00b38cb4ae"",""005286d2ea4ef759"",""7254be2137c1bd41"",""15457537e9745c3f"",""a7ff25fb584a9296"",""607ce6e6434e6908"",""850a580fa34241eb""]","[""11:ar_to_en:????"",""11:ar_to_en:??I?"",""11:en_to_ar:?ي"",""11:en_to_ar:ي?"",""9:en_to_ar:ي?"",""9:en_to_ar:?ي"",""11:en_to_ar:لي"",""11:en_to_ar:يل"",""9:en_to_ar:لي"",""9:en_to_ar:يل"",""13:en_to_ar:لي"",""13:en_to_ar:ل?"",""11:en_to_ar:م?ل"",""11:en_to_ar:?غل""]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,25,26,27,28,29,30]","[""ar_to_en:4"",""en_to_ar:2"",""en_to_ar:3""]","166.9584722616841","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","7","{""approved"":1}","{""approved"":5,""review"":2}","{""msa"":7}","5","5","3","3","0","0","2","7","0","3","0"
"3334","RICE","الأرز","4","[2,3,4,5]","129.99625046869141","2","33.65188126189908","[""aa637211bf7b3cd4"",""daa58b2c01c3202d"",""612bddf630f37c7b"",""8dd7b9ced08373e1"",""8b49c5a29e016d86"",""2d075ae44a3c3088"",""175eae75413e2d90"",""eb34b54da8d205ec"",""f907ff3c6e376e95"",""425c18febf44c80f"",""b187cad4906e5f34"",""c97144c08b4bd3e6"",""50e40330fe120fd4"",""028484e266961cf2"",""999fb3efac557c8d""]","[""11:ar_to_en:?CI?"",""11:ar_to_en:??C?"",""13:ar_to_en:??C?"",""9:en_to_ar:ز?"",""9:en_to_ar:?ز"",""11:en_to_ar:ز?"",""11:en_to_ar:?ز"",""13:en_to_ar:زر"",""13:en_to_ar:رز"",""11:en_to_ar:ار?"",""9:en_to_ar:ار?"",""9:en_to_ar:زر"",""13:en_to_ar:ر?"",""13:en_to_ar:?ر""]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,25,26,27,28,29,30]","[""ar_to_en:4"",""en_to_ar:2"",""en_to_ar:3""]","165.64813173059048","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","6","{""approved"":1}","{""review"":5,""approved"":1}","{""msa"":3,""uncertain"":3}","1","1","1","1","0","0","0","5","1","0","0"
"2376","ORIGIN","الأصل","6","[3,5]","136.56307129798904","2","26.94436251225965","[""8a68ffccb817c76c"",""2e3720bf2fe9cf9c"",""99bb2b15371bdcea"",""b9a896369119991d"",""2c4e22d1ed769993"",""d0358de22ab81fcd"",""eaeea6403e9fee5f"",""655376ed192e698a"",""d1f12a505c5ae02b""]","[""11:ar_to_en:??????"",""11:en_to_ar:ا?ل"",""9:en_to_ar:?صا"",""11:en_to_ar:???صل"",""11:en_to_ar:لص???"",""9:en_to_ar:لص???"",""11:en_to_ar:ل?ا"",""9:en_to_ar:ا?ل""]","[2,5,6,7,8,9,13,17,18,19,22,23,26,27,28,30]","[""ar_to_en:6"",""en_to_ar:3"",""en_to_ar:5""]","165.5074338102487","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","3","{""approved"":1}","{""review"":2,""approved"":1}","{""msa"":3}","1","1","1","1","0","0","0","3","0","0","0"
"2053","RICH","غني","4","[3,4,6]","139.4769306686405","2","23.6323312532452","[""aa637211bf7b3cd4"",""f26238039ac183aa"",""8dd7b9ced08373e1"",""8b0d50fa4483faf9"",""6e8673e7a64e5974""]","[""11:ar_to_en:?CI?"",""13:ar_to_en:????"",""13:ar_to_en:??C?"",""11:en_to_ar:ير?"",""9:en_to_ar:ين?""]","[2,4,6,7,8,13,14,15,16,19,27,28,30]","[""ar_to_en:4"",""en_to_ar:3""]","165.10926192188572","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","6","{""approved"":1}","{""approved"":5,""review"":1}","{""msa"":5,""uncertain"":1}","5","5","1","1","0","0","4","5","1","0","0"
"2087","GAVE","أعطى","4","[3,4,5]","139.14851969659898","2","23.009775004326936","[""784dc2435da8c201"",""41df88c4f90e5fdc"",""73a8b23425953bae"",""d3e0568305d0c68a"",""def279fe81cb28b6"",""ac5c268d8725b255"",""88ab41b449a59a5e""]","[""13:ar_to_en:????"",""11:ar_to_en:????"",""11:en_to_ar:و?ب"",""9:en_to_ar:وه?""]","[3,4,9,10,12,13,14,15,19,21,23,24,27,28,29]","[""ar_to_en:4"",""en_to_ar:3""]","164.15829470092592","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","4","{""approved"":1}","{""review"":2,""approved"":2}","{""msa"":4}","2","2","1","1","0","0","1","4","0","0","0"
"1925","TASK","المهمة","4","[6]","140.76433121019107","2","20.897352853986263","[""cf0a6e3a8b89bd46"",""b23312e138bec595"",""dbea01233536a083""]","[""11:ar_to_en:KSA?"",""11:ar_to_en:????"",""11:ar_to_en:??S?""]","[5,18,19,30]","[""ar_to_en:4""]","163.66168406417734","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","1","{""approved"":1}","{""approved"":1}","{""msa"":1}","1","1","1","1","0","0","0","1","0","0","0"
"2224","DISC","القرص","4","[3,5]","137.87878787878788","2","23.774437510817343","[""aaf0cf3f1222e251"",""20406f46610f0c65""]","[""11:ar_to_en:????"",""11:en_to_ar:?رص""]","[2,7,14,23]","[""ar_to_en:4"",""en_to_ar:3""]","163.6532253896052","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","2","{""approved"":1}","{""approved"":2}","{""msa"":2}","2","2","1","1","0","0","1","2","0","0","0"
"2253","BRAIN","الدماغ","5","[2,3,4,6]","137.62050317422995","2","24","[""33a4cf88c6cabdcb"",""274ecc06e64057d0"",""f1301c0d85aad18a"",""8bd14f2e01fcebde"",""3c4f8df05313446b"",""a0c5de59b2011542"",""7a2d67950435d82c"",""8953a4af5e0fbed9"",""c14ab7c31a37768b""]","[""11:en_to_ar:خ?"",""11:en_to_ar:?خ"",""9:en_to_ar:خ?"",""9:en_to_ar:?خ"",""11:en_to_ar:??مد"",""9:en_to_ar:خم"",""9:en_to_ar:دم??"",""11:en_to_ar:خم"",""13:en_to_ar:?خ""]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,27,28,29,30]","[""en_to_ar:2"",""en_to_ar:4""]","163.62050317422995","review","approved","approved","Selected general vocabulary. Approval requires at least one approved MSA relationship; an unsuitable translation alone does not reject the headword.","1","5","{""approved"":1}","{""approved"":4,""review"":1}","{""msa"":5}","4","4","1","1","0","0","3","5","0","0","0"
