"sourceId","english","arabic","before","after","reason","confidence","productionMetadataChanged"
"6319:2","PRAISE","ماشاء","wrong-or-corrupt-relationship","batch006-qa-fresh-pass","The incomplete fragment is not a standalone equivalent for praise; do not supply missing words silently.","high","false"
"2872:2","ANGEL","انجيل","wrong-or-corrupt-relationship","batch006-qa-fresh-pass","This expresses the Gospel, not the general angel noun; rejection remains justified.","high","false"
"6599:1","TECHNO","تكنو","register-review","batch006-qa-fresh-pass","The music borrowing needs supported register/usage evidence before MSA approval; familiarity alone is insufficient.","high","false"
"6599:0","TECHNO","كنو","register-review","batch006-qa-fresh-pass","The short form does not establish the music term or a valid MSA borrowing; retain uncertainty without repair.","high","false"
"2872:3","ANGEL","انجل","unsuitable-unclassified","batch006-qa-fresh-pass","The name-like transliteration does not establish the general angel meaning; keep both directions withheld and preserve the record.","high","false"
"5609:0","DISCS","الاقراص","orthography-review","batch006-qa-fresh-pass","The plural disc noun is recognizable but its initial hamza spelling needs correction review; do not silently normalize display.","high","false"
"5644:2","INCLUSION","ادراج","orthography-review","batch006-qa-fresh-pass","The inclusion noun is recognizable with omitted hamza; preserve display and leave orthographic review.","high","false"
"3108:0","ATTRACTIONS","الجذب","construction-or-sense-review","batch006-qa-fresh-pass","Abstract drawing power is not enough to approve the isolated plural attractions mapping without context.","high","false"
"2524:1","NOTED","ملاحظة","construction-or-sense-review","batch006-qa-fresh-pass","The note/observation noun does not clearly express noted in isolation; defer rather than impose an automatic rejection.","high","false"
"5672:1","AUTHENTIC","اصيلة","orthography-review","batch006-qa-fresh-pass","The feminine authenticity adjective is recognizable, but the missing hamza remains an unresolved spelling issue.","high","false"
"7053:1","BEANS","الفول","valid-alternative","batch006-qa-fresh-pass","Broad beans are a valid sense of beans; the Arabic article and narrower common variety do not justify exclusion.","high","false"
"2590:3","UTILITIES","المرافق العامة","natural-preferred","batch006-qa-fresh-pass","Public utilities are naturally expressed by this multiword MSA noun phrase.","high","false"
"7053:2","BEANS","الفاصوليا","natural-preferred","batch006-qa-fresh-pass","Natural common bean expression; keep it preferred without excluding other legitimate bean varieties.","high","false"
"4112:1","SHAVED","حليق","natural-preferred","batch006-qa-fresh-pass","This Arabic adjective expresses the shaved state and warrants adjective POS.","high","false"
"5583:2","ALIEN","فضائي","natural-preferred","batch006-qa-fresh-pass","The substantivized Arabic expression legitimately denotes an extraterrestrial being, distinct from a foreign person.","high","false"
"4434:4","SOLO","منفردا","natural-preferred","batch006-qa-fresh-pass","The accusative Arabic form is adverbial here and naturally conveys performing or acting solo.","high","false"
"2590:1","UTILITIES","مرافق","valid-alternative","batch006-qa-fresh-pass","Facilities/public services are valid utilities; broader nominal alternatives remain fair with crossings.","high","false"
"6319:0","PRAISE","الثناء","natural-preferred","batch006-qa-fresh-pass","Natural MSA praise noun, including commendation without a forced religious restriction.","high","false"
"6356:1","MODIFICATIONS","التعديلات","valid-alternative","batch006-qa-fresh-pass","Definite plural modifications is a valid article variant, allowed but nonpreferred.","high","false"
"8509:2","YEN","الين","valid-alternative","batch006-qa-fresh-pass","Established yen currency noun with the article; another spelling preference does not affect eligibility.","high","false"
"9232:1","MUG","القدح","valid-alternative","batch006-qa-fresh-pass","Definite drinking-vessel noun is a valid mug equivalent.","high","false"
"3777:1","ORGANISATIONS","المنظمات","valid-alternative","batch006-qa-fresh-pass","Natural plural organisations with an article; British English spelling remains valid.","high","false"
"5609:1","DISCS","الأقراص المضغوطة","valid-alternative","batch006-qa-fresh-pass","Compact discs are a genuine disc sense; retain the short sense label and allow the relationship.","high","false"
"5776:1","TONGUE","اللسان","valid-alternative","batch006-qa-fresh-pass","Natural definite body-part tongue noun; article variation is harmless.","high","false"
"6553:0","ANNEX","المرفق","valid-alternative","batch006-qa-fresh-pass","The attachment/annex noun is valid; other meanings of the Arabic clue do not exclude this one.","high","false"
"4371:0","YOGA","اليوغا","valid-alternative","batch006-qa-fresh-pass","Established yoga borrowing with the article; nonpreference is not a register concern or exclusion.","high","false"
"4611:0","LOCATE","حدد موقع","natural-preferred","batch006-qa-fresh-pass","Natural imperative meaning determine the location; a multiword Arabic command is a valid locate rendering.","high","false"
"8883:0","MONITORED","رصدت","natural-preferred","batch006-qa-fresh-pass","The finite Arabic past naturally expresses monitoring/observing; cross-language inflection differences are acceptable.","high","false"
