"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","stratum","sense"
"6319","2","PRAISE","ماشاء","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","PRAISE — ماشاء: The fragment is incomplete and does not form a usable equivalent for praise. Reject the relationship without silently completing the phrase. Second pass: Second pass confirms this incomplete fragment is not a usable praise expression; restoring missing words would invent a new phrase, so preserve but reject.","AI-assisted linguistic review","[]","rejected",""
"2872","2","ANGEL","انجيل","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","ANGEL — انجيل: This denotes the Gospel, not an angel. The semantic mismatch is clear and unrelated to harmless synonym ambiguity. Second pass: Second pass confirms the Arabic denotes the Gospel rather than an angel; it is not a secondary angel sense or grammatical variant.","AI-assisted linguistic review","[]","rejected",""
"6599","1","TECHNO","تكنو","review","uncertain","medium","","","","","noun","register-review","TECHNO — تكنو: The music borrowing and apparently incomplete spelling need register/orthographic evidence before approval; no automatic repair.","AI-assisted linguistic review","[]","register",""
"6599","0","TECHNO","كنو","review","uncertain","medium","","","","","noun","register-review","TECHNO — كنو: The music borrowing and apparently incomplete spelling need register/orthographic evidence before approval; no automatic repair.","AI-assisted linguistic review","[]","register",""
"2872","3","ANGEL","انجل","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","ANGEL — انجل: Name-like transliteration does not supply the general angel meaning; register and intended identity remain unresolved.","AI-assisted linguistic review","[]","register",""
"5609","0","DISCS","الاقراص","review","msa","medium","","","","","noun","orthography-review","DISCS — الاقراص: Discs and compact discs are valid related senses; spelling of the generic form needs separate attention.","AI-assisted linguistic review","[]","unresolved",""
"5644","2","INCLUSION","ادراج","review","msa","medium","","","","","noun","orthography-review","INCLUSION — ادراج: Including, incorporation and inclusion are valid nominal senses; hamza omission is flagged without changing source text.","AI-assisted linguistic review","[]","unresolved",""
"3108","0","ATTRACTIONS","الجذب","review","msa","medium","","","","","noun","construction-or-sense-review","ATTRACTIONS — الجذب: Abstract attraction/drawing power is recognizable MSA, but the plural headword mapping is not established without context. Preserve for review, not automatic rejection.","AI-assisted linguistic review","[]","unresolved",""
"2524","1","NOTED","ملاحظة","review","msa","medium","","","","","noun","construction-or-sense-review","NOTED — ملاحظة: A note/observation noun is not by itself a clear rendering of noted; context might justify a construction, so retain review.","AI-assisted linguistic review","[]","unresolved",""
"5672","1","AUTHENTIC","اصيلة","review","msa","medium","","","","","adjective","orthography-review","AUTHENTIC — اصيلة: Correct authenticity/genuineness sense; unmarked hamza spellings are preserved for orthographic review rather than silently repaired.","AI-assisted linguistic review","[]","unresolved",""
"7053","1","BEANS","الفول","approved","msa","high","true","true","false","false","noun","valid-alternative","BEANS — الفول (broad beans): Generic bean forms and broad beans are valid related readings; keep the broad-bean sense distinct without excluding it.","AI-assisted linguistic review","[]","multiple-meaning","broad beans"
"2590","3","UTILITIES","المرافق العامة","approved","msa","high","true","true","true","true","noun","natural-preferred","UTILITIES — المرافق العامة: Public-service facilities are valid utilities; the broader benefits rendering needs contextual scrutiny.","AI-assisted linguistic review","[]","multiple-meaning",""
"7053","2","BEANS","الفاصوليا","approved","msa","high","true","true","true","true","noun","natural-preferred","BEANS — الفاصوليا: Generic bean forms and broad beans are valid related readings; keep the broad-bean sense distinct without excluding it.","AI-assisted linguistic review","[]","multiple-meaning",""
"4112","1","SHAVED","حليق","approved","msa","high","true","true","true","true","adjective","natural-preferred","SHAVED — حليق: The finite past and adjectival shaved state are separately valid uses; POS is relationship-specific.","AI-assisted linguistic review","[]","multiple-meaning",""
"5583","2","ALIEN","فضائي","approved","msa","high","true","true","true","true","noun","natural-preferred","ALIEN — فضائي (extraterrestrial): Foreign and extraterrestrial are distinct legitimate English senses; unmarked hamza forms are retained for spelling review.","AI-assisted linguistic review","[]","multiple-meaning","extraterrestrial"
"4434","4","SOLO","منفردا","approved","msa","high","true","true","true","true","adverb","natural-preferred","SOLO — منفردا: Adjectival and adverbial uses are valid separately; Arabic gender agreement is not a reason for exclusion.","AI-assisted linguistic review","[]","multiple-meaning",""
"2590","1","UTILITIES","مرافق","approved","msa","high","true","true","false","false","noun","valid-alternative","UTILITIES — مرافق: Public-service facilities are valid utilities; the broader benefits rendering needs contextual scrutiny.","AI-assisted linguistic review","[]","multiple-meaning",""
"6319","0","PRAISE","الثناء","approved","msa","high","true","true","true","true","noun","natural-preferred","PRAISE — الثناء: Praise and commendation are valid; religious fragments and incomplete expressions need individual review.","AI-assisted linguistic review","[]","multiple-meaning",""
"6356","1","MODIFICATIONS","التعديلات","approved","msa","high","true","true","false","false","noun","valid-alternative","MODIFICATIONS — التعديلات: Natural plural meaning changes or alterations; article variants remain valid.","AI-assisted linguistic review","[]","allowed-nonpreferred",""
"8509","2","YEN","الين","approved","msa","high","true","true","false","false","noun","valid-alternative","YEN — الين: Established currency expression; questionable doubled-ya spelling is preserved for review.","AI-assisted linguistic review","[]","allowed-nonpreferred",""
"9232","1","MUG","القدح","approved","msa","high","true","true","false","false","noun","valid-alternative","MUG — القدح: Natural noun for a drinking cup or mug.","AI-assisted linguistic review","[]","allowed-nonpreferred",""
"3777","1","ORGANISATIONS","المنظمات","approved","msa","high","true","true","false","false","noun","valid-alternative","ORGANISATIONS — المنظمات: Natural plural for organisations; British spelling is valid and retained.","AI-assisted linguistic review","[]","allowed-nonpreferred",""
"5609","1","DISCS","الأقراص المضغوطة","approved","msa","high","true","true","false","false","noun","valid-alternative","DISCS — الأقراص المضغوطة (compact discs): Discs and compact discs are valid related senses; spelling of the generic form needs separate attention.","AI-assisted linguistic review","[]","allowed-nonpreferred","compact discs"
"5776","1","TONGUE","اللسان","approved","msa","high","true","true","false","false","noun","valid-alternative","TONGUE — اللسان: Natural body-part noun, with valid article variants.","AI-assisted linguistic review","[]","allowed-nonpreferred",""
"6553","0","ANNEX","المرفق","approved","msa","high","true","true","false","false","noun","valid-alternative","ANNEX — المرفق: Natural noun for an annex or attachment, rather than an automatically assumed verbal use.","AI-assisted linguistic review","[]","allowed-nonpreferred",""
"4371","0","YOGA","اليوغا","approved","msa","high","true","true","false","false","noun","valid-alternative","YOGA — اليوغا: Established learner-facing borrowing with familiar Arabic spelling variants; no dialect classification is inferred from variant orthography.","AI-assisted linguistic review","[]","allowed-nonpreferred",""
"4611","0","LOCATE","حدد موقع","approved","msa","high","true","true","true","true","verb","natural-preferred","LOCATE — حدد موقع: Natural multiword command meaning determine the location; preserve spacing.","AI-assisted linguistic review","[]","verb-inflection",""
"8883","0","MONITORED","رصدت","approved","msa","high","true","true","true","true","verb","natural-preferred","MONITORED — رصدت: The finite Arabic past expresses monitoring/observing; English and Arabic morphology need not be identical.","AI-assisted linguistic review","[]","verb-inflection",""
"4905","0","EARNED","كسبت","approved","msa","high","true","true","true","true","verb","natural-preferred","EARNED — كسبت: Arabic finite past expresses earning naturally; the separate noun for acquisitions needs contextual scrutiny.","AI-assisted linguistic review","[]","verb-inflection",""
"5072","1","INVITE","الدعوة","approved","msa","high","true","true","false","false","verb","valid-alternative","INVITE — الدعوة: Invitation/inviting is a reasonable Arabic action-noun rendering of the English verb; an identical finite form is not required.","AI-assisted linguistic review","[]","verb-inflection",""
"4112","0","SHAVED","حلقت","approved","msa","high","true","true","true","true","verb","natural-preferred","SHAVED — حلقت: The finite past and adjectival shaved state are separately valid uses; POS is relationship-specific.","AI-assisted linguistic review","[]","verb-inflection",""
"2524","0","NOTED","لوحظ","approved","msa","high","true","true","true","true","verb","natural-preferred","NOTED — لوحظ: The Arabic passive past expresses was noted; the separate note/observation noun does not automatically express this participial headword.","AI-assisted linguistic review","[]","verb-inflection",""
"4074","1","DONATE","التبرع","approved","msa","high","true","true","false","false","verb","valid-alternative","DONATE — التبرع: The bare form can express the verb; the article form is an action noun naturally expressing donating.","AI-assisted linguistic review","[]","verb-inflection",""
