seed,size,mode,policy,reason,solverAttempts,timeoutChecks,viableTemplates,validationErrors,qualityErrors
"1","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","29","6","[]","[]"
"1","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","121","48","24","[]","[]"
"1","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","83","1","6","[]","[]"
"1","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","230","43","24","[]","[]"
"2","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","38","6","[]","[]"
"2","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","44","6","[]","[]"
"2","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","154","44","24","[]","[]"
"2","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","10","1","6","[]","[]"
"2","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","254","43","24","[]","[]"
"3","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","48","6","[]","[]"
"3","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","142","44","24","[]","[]"
"3","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","33","6","[]","[]"
"3","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","228","36","24","[]","[]"
"4","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","24","6","[]","[]"
"4","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","52","6","[]","[]"
"4","11","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","122","49","24","[]","[]"
"4","13","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","33","6","[]","[]"
"4","13","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","274","37","24","[]","[]"
"5","9","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","31","6","[]","[]"
"5","9","ar_to_en","approved-only","solver_deadline_observed_root_cause_unestablished","24","67","24","[]","[]"
"5","11","en_to_ar","approved-only","solver_deadline_observed_root_cause_unestablished","2","31","6","[]","[]"
