policy,mode,size,length,indexedCandidates,uniqueCanonicalAnswers
"approved-only","en_to_ar","7","2","50","42"
"approved-only","en_to_ar","7","3","406","341"
"approved-only","en_to_ar","7","4","826","730"
"approved-only","en_to_ar","7","5","798","719"
"approved-only","en_to_ar","7","6","596","545"
"approved-only","en_to_ar","7","7","381","353"
"approved-only","en_to_ar","7","8","0","0"
"approved-only","en_to_ar","7","9","0","0"
"approved-only","en_to_ar","7","10","0","0"
"approved-only","en_to_ar","7","11","0","0"
"approved-only","en_to_ar","7","12","0","0"
"approved-only","en_to_ar","7","13","0","0"
"approved-only","en_to_ar","9","2","54","45"
"approved-only","en_to_ar","9","3","455","372"
"approved-only","en_to_ar","9","4","1001","856"
"approved-only","en_to_ar","9","5","1006","875"
"approved-only","en_to_ar","9","6","778","682"
"approved-only","en_to_ar","9","7","535","478"
"approved-only","en_to_ar","9","8","201","183"
"approved-only","en_to_ar","9","9","88","86"
"approved-only","en_to_ar","9","10","0","0"
"approved-only","en_to_ar","9","11","0","0"
"approved-only","en_to_ar","9","12","0","0"
"approved-only","en_to_ar","9","13","0","0"
"approved-only","en_to_ar","11","2","54","45"
"approved-only","en_to_ar","11","3","469","377"
"approved-only","en_to_ar","11","4","1035","879"
"approved-only","en_to_ar","11","5","1069","921"
"approved-only","en_to_ar","11","6","819","711"
"approved-only","en_to_ar","11","7","591","526"
"approved-only","en_to_ar","11","8","219","197"
"approved-only","en_to_ar","11","9","105","99"
"approved-only","en_to_ar","11","10","31","30"
"approved-only","en_to_ar","11","11","23","23"
"approved-only","en_to_ar","11","12","0","0"
"approved-only","en_to_ar","11","13","0","0"
"approved-only","en_to_ar","13","2","54","45"
"approved-only","en_to_ar","13","3","473","379"
"approved-only","en_to_ar","13","4","1044","882"
"approved-only","en_to_ar","13","5","1091","940"
"approved-only","en_to_ar","13","6","830","717"
"approved-only","en_to_ar","13","7","623","550"
"approved-only","en_to_ar","13","8","228","205"
"approved-only","en_to_ar","13","9","115","106"
"approved-only","en_to_ar","13","10","33","31"
"approved-only","en_to_ar","13","11","24","24"
"approved-only","en_to_ar","13","12","16","16"
"approved-only","en_to_ar","13","13","5","5"
"approved-only","ar_to_en","7","2","15","15"
"approved-only","ar_to_en","7","3","172","172"
"approved-only","ar_to_en","7","4","292","292"
"approved-only","ar_to_en","7","5","282","282"
"approved-only","ar_to_en","7","6","258","258"
"approved-only","ar_to_en","7","7","410","410"
"approved-only","ar_to_en","7","8","0","0"
"approved-only","ar_to_en","7","9","0","0"
"approved-only","ar_to_en","7","10","0","0"
"approved-only","ar_to_en","7","11","0","0"
"approved-only","ar_to_en","7","12","0","0"
"approved-only","ar_to_en","7","13","0","0"
"approved-only","ar_to_en","9","2","15","15"
"approved-only","ar_to_en","9","3","172","172"
"approved-only","ar_to_en","9","4","292","292"
"approved-only","ar_to_en","9","5","282","282"
"approved-only","ar_to_en","9","6","258","258"
"approved-only","ar_to_en","9","7","410","410"
"approved-only","ar_to_en","9","8","178","178"
"approved-only","ar_to_en","9","9","194","194"
"approved-only","ar_to_en","9","10","0","0"
"approved-only","ar_to_en","9","11","0","0"
"approved-only","ar_to_en","9","12","0","0"
"approved-only","ar_to_en","9","13","0","0"
"approved-only","ar_to_en","11","2","15","15"
"approved-only","ar_to_en","11","3","172","172"
"approved-only","ar_to_en","11","4","292","292"
"approved-only","ar_to_en","11","5","282","282"
"approved-only","ar_to_en","11","6","258","258"
"approved-only","ar_to_en","11","7","410","410"
"approved-only","ar_to_en","11","8","178","178"
"approved-only","ar_to_en","11","9","194","194"
"approved-only","ar_to_en","11","10","59","59"
"approved-only","ar_to_en","11","11","57","57"
"approved-only","ar_to_en","11","12","0","0"
"approved-only","ar_to_en","11","13","0","0"
"approved-only","ar_to_en","13","2","15","15"
"approved-only","ar_to_en","13","3","172","172"
"approved-only","ar_to_en","13","4","292","292"
"approved-only","ar_to_en","13","5","282","282"
"approved-only","ar_to_en","13","6","258","258"
"approved-only","ar_to_en","13","7","410","410"
"approved-only","ar_to_en","13","8","178","178"
"approved-only","ar_to_en","13","9","194","194"
"approved-only","ar_to_en","13","10","59","59"
"approved-only","ar_to_en","13","11","57","57"
"approved-only","ar_to_en","13","12","15","15"
"approved-only","ar_to_en","13","13","26","26"
