whitePct,crossedPct,signature,seed,size,mode,policy,success,generationMs,entries,intersections,candidateCount,candidateLengths,solverAttempts,timeoutChecks,viableTemplates,totalTemplates,validationErrors,qualityErrors,failureReason
"73.46938775510205","100","1100110/1101111/0111011/1110111/1101110/1111011/0110011","1","7","en_to_ar","compatibility","true","3.6495410000006814","26","36","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"73.46938775510205","100","1100110/1101111/0111011/1110111/1101110/1111011/0110011","1","7","en_to_ar","approved-only","true","4.299000000000888","26","36","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"83.6734693877551","100","1110111/1110111/1111111/0011100/1111111/1110111/1110111","1","7","ar_to_en","compatibility","true","6.410832999999911","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","1","0","24","24","[]","[]",""
"83.6734693877551","100","1110111/1110111/1111111/0011100/1111111/1110111/1110111","1","7","ar_to_en","approved-only","true","12.709249999999884","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"74.07407407407408","100","110110011/111111111/111111100/110110110/011001111/011011011/110110110/111101111/001101111","1","9","en_to_ar","compatibility","true","6.517792000000554","40","60","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"74.07407407407408","100","110110011/111111111/111111100/110110110/011001111/011011011/110110110/111101111/001101111","1","9","en_to_ar","approved-only","true","86.09108299999934","40","60","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"81.48148148148148","100","011101110/111101110/111111111/111110111/001111111/111011100/111111111/111110111/001110111","1","9","ar_to_en","compatibility","true","218.51891700000124","30","66","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","2","5","24","24","[]","[]",""
"79.01234567901234","100","001110111/111110111/111111111/111011100/011101110/001110111/111111111/111011111/111011100","1","9","ar_to_en","approved-only","true","763.2180829999998","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","5","12","24","24","[]","[]",""
"70.24793388429752","100","00111011011/11111011111/11100111100/00111110011/11011101111/11110111100/11100111100/11011100111/00111011011/11100111110/11100110110","1","11","en_to_ar","compatibility","true","14.487499999999272","59","85","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","1","0","6","6","[]","[]",""
"70.24793388429752","100","00111011011/11111011111/11100111100/00111110011/11011101111/11110111100/11100111100/11011100111/00111011011/11100111110/11100110110","1","11","en_to_ar","approved-only","true","10.396208000000115","59","85","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","1","0","6","6","[]","[]",""
