"sourceId","originalDecision","revisedDecision","reason","confidence"
"550:2","{""headwordIndex"":550,""translationIndex"":2,""english"":""SOMETHING"",""original"":""حاجه"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""pronoun"",""reasonCode"":""dialect"",""reason"":""SOMETHING — حاجه: حاجه used for an indefinite something is colloquial and also has spelling issues. Do not substitute a new MSA expression."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":550,""translationIndex"":2,""english"":""SOMETHING"",""original"":""حاجه"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""pronoun"",""reasonCode"":""dialect"",""reason"":""حاجه in the indefinite something use is colloquial and misspelled; a correct MSA شيء ما alternative exists separately."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","حاجه in the indefinite something use is colloquial and misspelled; a correct MSA شيء ما alternative exists separately.","high"
"1040:0","{""headwordIndex"":1040,""translationIndex"":0,""english"":""CAME"",""original"":""جيت"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""dialect"",""reason"":""CAME — جيت: جيت is the colloquial came form in this relationship; جاء remains the separate approved MSA equivalent."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1040,""translationIndex"":0,""english"":""CAME"",""original"":""جيت"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""dialect"",""reason"":""جيت is a colloquial came form; do not rewrite to جاء."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","جيت is a colloquial came form; do not rewrite to جاء.","high"
"569:0","{""headwordIndex"":569,""translationIndex"":0,""english"":""ALWAYS"",""original"":""دايما"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adverb"",""reasonCode"":""dialect"",""reason"":""ALWAYS — دايما: دايما in this spelling is the colloquial always form; the natural MSA alternative دائما is separately preserved."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":569,""translationIndex"":0,""english"":""ALWAYS"",""original"":""دايما"",""status"":""rejected"",""register"":""dialect"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adverb"",""reasonCode"":""dialect"",""reason"":""دايما is the colloquial always spelling/form; natural MSA دائما is separate."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","دايما is the colloquial always spelling/form; natural MSA دائما is separate.","high"
"994:2","{""headwordIndex"":994,""translationIndex"":2,""english"":""SCREEN"",""original"":""شاشة الشاشة"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""SCREEN — شاشة الشاشة: شاشة الشاشة is an unexplained duplicated possessive phrase, not a natural screen equivalent."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":994,""translationIndex"":2,""english"":""SCREEN"",""original"":""شاشة الشاشة"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""شاشة الشاشة repeats screen in an unexplained genitive; not a usable lexical equivalent."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","شاشة الشاشة repeats screen in an unexplained genitive; not a usable lexical equivalent.","high"
"884:4","{""headwordIndex"":884,""translationIndex"":4,""english"":""LICENSE"",""original"":""ترخيص الترخيص"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun/verb"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""LICENSE — ترخيص الترخيص: ترخيص الترخيص is an unexplained repetition/possessive construction, not a natural license equivalent."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":884,""translationIndex"":4,""english"":""LICENSE"",""original"":""ترخيص الترخيص"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun/verb"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""ترخيص الترخيص repeats license without a supported sense."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","ترخيص الترخيص repeats license without a supported sense.","high"
"546:3","{""headwordIndex"":546,""translationIndex"":3,""english"":""GIRLS"",""original"":""لبنات"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""GIRLS — لبنات: لبنات denotes bricks/building blocks or contains an intrusive ل; it is not a natural translation of girls."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":546,""translationIndex"":3,""english"":""GIRLS"",""original"":""لبنات"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""rejection-held-for-review"",""reason"":""لبنات can be ل plus بنات meaning for girls, as well as bricks; the earlier categorical wrong-meaning rejection is too strong. Review the construction and retain both exclusions until resolved."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","لبنات can be ل plus بنات meaning for girls, as well as bricks; the earlier categorical wrong-meaning rejection is too strong. Review the construction and retain both exclusions until resolved.","high"
"1070:1","{""headwordIndex"":1070,""translationIndex"":1,""english"":""BRITISH"",""original"":""بريطانيا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective/noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""BRITISH — بريطانيا: بريطانيا is Britain, a country, not British as a person/adjective. This changes the referent rather than naturally adapting morphology."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1070,""translationIndex"":1,""english"":""BRITISH"",""original"":""بريطانيا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective/noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""بريطانيا names Britain and is not British; this changes the referent, not just morphology."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","بريطانيا names Britain and is not British; this changes the referent, not just morphology.","high"
"878:2","{""headwordIndex"":878,""translationIndex"":2,""english"":""ENGINEERING"",""original"":""الهندسة الهندسية"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""ENGINEERING — الهندسة الهندسية: الهندسة الهندسية is redundant engineering engineering; do not silently remove the adjective."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":878,""translationIndex"":2,""english"":""ENGINEERING"",""original"":""الهندسة الهندسية"",""status"":""review"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""rejection-held-for-review"",""reason"":""الهندسة الهندسية is redundant but its technical intent is not proven impossible. Move categorical corruption rejection to review while retaining both exclusions; do not delete words."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","الهندسة الهندسية is redundant but its technical intent is not proven impossible. Move categorical corruption rejection to review while retaining both exclusions; do not delete words.","high"
"897:1","{""headwordIndex"":897,""translationIndex"":1,""english"":""CHURCH"",""original"":""كنيست"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""CHURCH — كنيست: كنيست refers to Knesset rather than church; a similar written form is not sufficient translation evidence."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":897,""translationIndex"":1,""english"":""CHURCH"",""original"":""كنيست"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""كنيست refers to the Knesset and does not provide church."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","كنيست refers to the Knesset and does not provide church.","high"
"848:2","{""headwordIndex"":848,""translationIndex"":2,""english"":""CAMERA"",""original"":""كاميرا الكاميرا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""CAMERA — كاميرا الكاميرا: كاميرا الكاميرا is an unexplained duplicated phrase, not a natural vocabulary translation of camera."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":848,""translationIndex"":2,""english"":""CAMERA"",""original"":""كاميرا الكاميرا"",""status"":""rejected"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":false,""allowedForArToEn"":false,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""wrong-or-corrupt-relationship"",""reason"":""كاميرا الكاميرا is an unexplained doubled phrase; the camera relationship is corrupted."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","كاميرا الكاميرا is an unexplained doubled phrase; the camera relationship is corrupted.","high"
