"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","stratum","sense"
"550","2","SOMETHING","حاجه","rejected","dialect","high","false","false","false","false","pronoun","dialect","SOMETHING — حاجه: حاجه used for an indefinite something is colloquial and also has spelling issues. Do not substitute a new MSA expression.","AI-assisted linguistic review","[]","dialect",""
"1040","0","CAME","جيت","rejected","dialect","high","false","false","false","false","verb","dialect","CAME — جيت: جيت is the colloquial came form in this relationship; جاء remains the separate approved MSA equivalent.","AI-assisted linguistic review","[]","dialect",""
"569","0","ALWAYS","دايما","rejected","dialect","high","false","false","false","false","adverb","dialect","ALWAYS — دايما: دايما in this spelling is the colloquial always form; the natural MSA alternative دائما is separately preserved.","AI-assisted linguistic review","[]","dialect",""
"994","2","SCREEN","شاشة الشاشة","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","SCREEN — شاشة الشاشة: شاشة الشاشة is an unexplained duplicated possessive phrase, not a natural screen equivalent.","AI-assisted linguistic review","[]","rejected",""
"884","4","LICENSE","ترخيص الترخيص","rejected","msa","high","false","false","false","false","noun/verb","wrong-or-corrupt-relationship","LICENSE — ترخيص الترخيص: ترخيص الترخيص is an unexplained repetition/possessive construction, not a natural license equivalent.","AI-assisted linguistic review","[]","rejected",""
"546","3","GIRLS","لبنات","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","GIRLS — لبنات: لبنات denotes bricks/building blocks or contains an intrusive ل; it is not a natural translation of girls.","AI-assisted linguistic review","[]","rejected",""
"1070","1","BRITISH","بريطانيا","rejected","msa","high","false","false","false","false","adjective/noun","wrong-or-corrupt-relationship","BRITISH — بريطانيا: بريطانيا is Britain, a country, not British as a person/adjective. This changes the referent rather than naturally adapting morphology.","AI-assisted linguistic review","[]","rejected",""
"878","2","ENGINEERING","الهندسة الهندسية","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","ENGINEERING — الهندسة الهندسية: الهندسة الهندسية is redundant engineering engineering; do not silently remove the adjective.","AI-assisted linguistic review","[]","rejected",""
"897","1","CHURCH","كنيست","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","CHURCH — كنيست: كنيست refers to Knesset rather than church; a similar written form is not sufficient translation evidence.","AI-assisted linguistic review","[]","rejected",""
"848","2","CAMERA","كاميرا الكاميرا","rejected","msa","high","false","false","false","false","noun","wrong-or-corrupt-relationship","CAMERA — كاميرا الكاميرا: كاميرا الكاميرا is an unexplained duplicated phrase, not a natural vocabulary translation of camera.","AI-assisted linguistic review","[]","rejected",""
"718","0","UPON","بعد الظهر","rejected","msa","high","false","false","false","false","preposition","wrong-or-corrupt-relationship","UPON — بعد الظهر: بعد الظهر means afternoon and does not express the preposition upon.","AI-assisted linguistic review","[]","rejected",""
