"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"534","3","YOUNG","الشباب","review","msa","medium","","","","","adjective","construction-or-sense-review","YOUNG — الشباب: الشباب is youth/young people; an isolated adjective-to-collective reading needs confirmation.","AI-assisted linguistic review","[]","534:3","الشباب","true"
"549","1","LATEST","آخر الأخبار","review","msa","medium","","","","","adjective/noun","construction-or-sense-review","LATEST — آخر الأخبار: آخر الأخبار means latest news, not every use of latest; retain for construction review rather than a synonym veto.","AI-assisted linguistic review","[]","549:1","آخر الأخبار","true"
"580","0","GIVEN","نظرا","review","msa","medium","","","","","preposition","construction-or-sense-review","GIVEN — نظرا: نظرا can participate in given/considering constructions with additional grammatical material; do not certify bare equivalence without context.","AI-assisted linguistic review","[]","580:0","نظرا","true"
"662","3","OTHERS","أخرى","review","msa","medium","","","","","pronoun","construction-or-sense-review","OTHERS — أخرى: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","662:3","أخرى","true"
"680","1","UPDATED","تحديث","review","msa","medium","","","","","adjective","construction-or-sense-review","UPDATED — تحديث: تحديث is updating/update action; UPDATED may require a result-state reading. Defer rather than automatically reject Arabic masdar forms.","AI-assisted linguistic review","[]","680:1","تحديث","true"
"683","0","HAVING","وجود","review","msa","medium","","","","","verb","construction-or-sense-review","HAVING — وجود: وجود denotes presence/existence; having can express possession and this relationship needs construction evidence.","AI-assisted linguistic review","[]","683:0","وجود","true"
"699","2","CALLED","يسمى","review","msa","medium","","","","","verb","construction-or-sense-review","CALLED — يسمى: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","699:2","يسمى","true"
"706","0","POWERED","مدعوم","review","msa","medium","","","","","adjective","construction-or-sense-review","POWERED — مدعوم: مدعوم is supported; powered by can have that figurative sense, but the intended construction remains unresolved.","AI-assisted linguistic review","[]","706:0","مدعوم","true"
"718","0","UPON","بعد الظهر","rejected","msa","high","false","false","false","false","preposition","wrong-or-corrupt-relationship","UPON — بعد الظهر: بعد الظهر means afternoon and does not express the preposition upon.","AI-assisted linguistic review","[]","718:0","بعد الظهر","true"
"741","3","DISTRICT","منطقة حي","review","msa","medium","","","","","noun","construction-or-sense-review","DISTRICT — منطقة حي: منطقة حي is an awkward stacked phrase for district; preserve it for linguistic review without text editing.","AI-assisted linguistic review","[]","741:3","منطقة حي","true"
"744","3","STYLE","الاسلوب","review","msa","medium","","","","","noun","orthography-review","STYLE — الاسلوب: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone.","AI-assisted linguistic review","[]","744:3","الاسلوب","true"
"750","0","EVER","أبداً","review","msa","medium","","","","","adverb","construction-or-sense-review","EVER — أبداً: Arabic is recognizable MSA, but this isolated relationship needs a supported construction/sense before approval; morphology alone is not rejection.","AI-assisted linguistic review","[]","750:0","أبداً","true"
"763","2","MATERIAL","مواد","review","msa","medium","","","","","noun","construction-or-sense-review","MATERIAL — مواد: مواد is plural materials; retain potential collective use for review rather than rejecting number mechanically.","AI-assisted linguistic review","[]","763:2","مواد","true"
"764","0","BILL","بيل","review","uncertain","high","false","false","false","false","noun","unsuitable-unclassified","BILL — بيل: This rendering does not supply a natural learner equivalent of the English sense. Both directions withheld; register is unresolved so status remains review.","AI-assisted linguistic review","[]","764:0","بيل","true"
"771","3","ADULT","الكبار","review","msa","medium","","","","","noun/adjective","construction-or-sense-review","ADULT — الكبار: الكبار is adults/elders; a singular headword needs a supported collective construction before approval.","AI-assisted linguistic review","[]","771:3","الكبار","true"
"784","3","MARK","علامة العلامة","rejected","msa","high","false","false","false","false","noun/verb","wrong-or-corrupt-relationship","MARK — علامة العلامة: علامة العلامة is an unexplained duplicated possessive phrase, not a normal learner equivalent of mark.","AI-assisted linguistic review","[]","784:3","علامة العلامة","true"
"786","1","ROCK","روك","review","uncertain","medium","","","","","noun","register-review","ROCK — روك: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval.","AI-assisted linguistic review","[]","786:1","روك","true"
"801","0","PERCENT","النسبة المئوية","review","msa","medium","","","","","noun","construction-or-sense-review","PERCENT — النسبة المئوية: النسبة المئوية names percentage, whereas percent conventionally expresses per hundred. Keep the noun usage question unresolved rather than rewriting.","AI-assisted linguistic review","[]","801:0","النسبة المئوية","true"
"814","0","LYRICS","كلمات","review","msa","medium","","","","","noun","construction-or-sense-review","LYRICS — كلمات: كلمات alone is words; lyrics normally needs a song context. This is a potential materially broad clue, not merely a shared synonym.","AI-assisted linguistic review","[]","814:0","كلمات","true"
"817","1","SUBMIT","قُدم","review","msa","medium","","","","","verb","construction-or-sense-review","SUBMIT — قُدم: قُدم is a passive past submitted form; whether it is an appropriate citation of submit needs contextual judgment.","AI-assisted linguistic review","[]","817:1","قُدم","true"
