"policy","size","mode","eligibleRelationshipsBeforeLengthLimits","indexedCandidates"
"compatibility","7","en_to_ar","28970","16350"
"compatibility","7","ar_to_en","28970","9823"
"compatibility","9","en_to_ar","28970","23794"
"compatibility","9","ar_to_en","28970","13512"
"compatibility","11","en_to_ar","28970","27271"
"compatibility","11","ar_to_en","28970","15233"
"compatibility","13","en_to_ar","28970","28525"
"compatibility","13","ar_to_en","28970","15788"
"approved-only","7","en_to_ar","5702","3867"
"approved-only","7","ar_to_en","5702","1851"
"approved-only","9","en_to_ar","5702","5105"
"approved-only","9","ar_to_en","5702","2272"
"approved-only","11","en_to_ar","5702","5507"
"approved-only","11","ar_to_en","5702","2426"
"approved-only","13","en_to_ar","5702","5660"
"approved-only","13","ar_to_en","5702","2477"
