"headwordIndex","translationIndex","english","original","status","register","confidence","allowedForEnToAr","allowedForArToEn","preferredForEnToAr","preferredForArToEn","partOfSpeech","reasonCode","reason","reviewer","sources","sourceId","referenceArabic","referenceConflict"
"3108","0","ATTRACTIONS","الجذب","review","msa","medium","","","","","noun","construction-or-sense-review","ATTRACTIONS — الجذب: Abstract attraction/drawing power is recognizable MSA, but the plural headword mapping is not established without context. Preserve for review, not automatic rejection.","AI-assisted linguistic review","[]","3108:0","مناطق الجذب السياحي","false"
"4434","0","SOLO","سولو","review","uncertain","medium","","","","","noun","register-review","SOLO — سولو: Adjectival and adverbial uses are valid separately; Arabic gender agreement is not a reason for exclusion.","AI-assisted linguistic review","[]","4434:0","منفردا","false"
"2847","2","EURO","باليورو","review","msa","medium","","","","","noun","construction-or-sense-review","EURO — باليورو: The prefixed preposition means in/with euros, not simply the currency noun. Keep this valid phrase unchanged for contextual review.","AI-assisted linguistic review","[]","2847:2","اليورو","false"
"5672","0","AUTHENTIC","الاصيل","review","msa","medium","","","","","adjective","orthography-review","AUTHENTIC — الاصيل: Correct authenticity/genuineness sense; unmarked hamza spellings are preserved for orthographic review rather than silently repaired.","AI-assisted linguistic review","[]","5672:0","أصلي","false"
"5672","1","AUTHENTIC","اصيلة","review","msa","medium","","","","","adjective","orthography-review","AUTHENTIC — اصيلة: Correct authenticity/genuineness sense; unmarked hamza spellings are preserved for orthographic review rather than silently repaired.","AI-assisted linguistic review","[]","5672:1","أصلي","false"
"5672","2","AUTHENTIC","اصيل","review","msa","medium","","","","","adjective","orthography-review","AUTHENTIC — اصيل: Correct authenticity/genuineness sense; unmarked hamza spellings are preserved for orthographic review rather than silently repaired.","AI-assisted linguistic review","[]","5672:2","أصلي","false"
"5672","3","AUTHENTIC","اصلية","review","msa","medium","","","","","adjective","orthography-review","AUTHENTIC — اصلية: Correct authenticity/genuineness sense; unmarked hamza spellings are preserved for orthographic review rather than silently repaired.","AI-assisted linguistic review","[]","5672:3","أصلي","false"
"4905","1","EARNED","المكتسبات","review","msa","medium","","","","","noun","construction-or-sense-review","EARNED — المكتسبات: Acquisitions/gains is a noun, while earned normally modifies or predicates earning; the isolated correspondence needs evidence.","AI-assisted linguistic review","[]","4905:1","المكتسبات","true"
"8509","1","YEN","يين","review","msa","medium","","","","","noun","orthography-review","YEN — يين: The doubled-ya currency spelling needs orthographic confirmation; prefer the established shorter form without deleting this record.","AI-assisted linguistic review","[]","8509:1","الين","false"
"4995","0","ATLAS","اطلس","review","msa","medium","","","","","noun","orthography-review","ATLAS — اطلس: Natural MSA borrowing for a collection of maps; the spelling lacking initial hamza is deferred.","AI-assisted linguistic review","[]","4995:0","الأطلس","false"
"6735","0","INTAKE","المدخول","review","msa","medium","","","","","noun","construction-or-sense-review","INTAKE — المدخول: The Arabic can suggest income or nutritional intake; the isolated mapping needs clearer contextual support.","AI-assisted linguistic review","[]","6735:0","المدخول","true"
"5583","0","ALIEN","اجنبي","review","msa","medium","","","","","adjective","orthography-review","ALIEN — اجنبي: Foreign and extraterrestrial are distinct legitimate English senses; unmarked hamza forms are retained for spelling review.","AI-assisted linguistic review","[]","5583:0","أجنبي","false"
"5583","1","ALIEN","الاجنبي","review","msa","medium","","","","","noun","orthography-review","ALIEN — الاجنبي: Foreign and extraterrestrial are distinct legitimate English senses; unmarked hamza forms are retained for spelling review.","AI-assisted linguistic review","[]","5583:1","أجنبي","false"
"3949","0","EAGLE","النسر","review","msa","medium","","","","","noun","construction-or-sense-review","EAGLE — النسر: The common bird label needs evidence to resolve the eagle versus vulture distinction; do not approve from plausibility alone.","AI-assisted linguistic review","[]","3949:0","النسر","true"
"3949","1","EAGLE","نسر","review","msa","medium","","","","","noun","construction-or-sense-review","EAGLE — نسر: The common bird label needs evidence to resolve the eagle versus vulture distinction; do not approve from plausibility alone.","AI-assisted linguistic review","[]","3949:1","النسر","false"
