seed,size,mode,policy,success,generationMs,entries,intersections,candidateCount,candidateLengths,solverAttempts,timeoutChecks,viableTemplates,totalTemplates,validationErrors,qualityErrors,failureReason
"1","7","en_to_ar","approved-only","true","5.9710419999973965","26","36","2000","{""2"":75,""3"":385,""4"":385,""5"":385,""6"":385,""7"":385}","1","0","6","6","[]","[]",""
"1","7","ar_to_en","approved-only","true","18.875625000000582","22","41","1807","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450}","1","0","24","24","[]","[]",""
"1","9","en_to_ar","approved-only","true","21.190417000001617","40","60","2000","{""2"":79,""3"":309,""4"":308,""5"":308,""6"":308,""7"":308,""8"":259,""9"":121}","1","0","6","6","[]","[]",""
"1","9","ar_to_en","approved-only","true","591.7937080000011","32","64","2223","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196}","4","10","24","24","[]","[]",""
"1","11","en_to_ar","approved-only","true","15.096290999998018","59","85","2000","{""2"":79,""3"":282,""4"":282,""5"":282,""6"":282,""7"":282,""8"":282,""9"":150,""10"":46,""11"":33}","1","0","6","6","[]","[]",""
"1","11","ar_to_en","approved-only","true","3790.399874999999","44","88","2373","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196,""10"":75,""11"":75}","48","48","24","24","[]","[]",""
"1","13","en_to_ar","approved-only","false","1807.2803329999988","0","0","2000","{""2"":79,""3"":274,""4"":275,""5"":275,""6"":275,""7"":275,""8"":275,""9"":160,""10"":48,""11"":34,""12"":24,""13"":6}","7","4","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"1","13","ar_to_en","approved-only","false","4516.803500000002","0","0","2417","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196,""10"":75,""11"":75,""12"":18,""13"":26}","151","44","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","7","en_to_ar","approved-only","true","4.1680840000008175","26","35","2000","{""2"":75,""3"":385,""4"":385,""5"":385,""6"":385,""7"":385}","1","0","6","6","[]","[]",""
"2","7","ar_to_en","approved-only","true","133.68524999999863","22","41","1807","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450}","2","8","24","24","[]","[]",""
"2","9","en_to_ar","approved-only","true","869.2352089999986","42","60","2000","{""2"":79,""3"":309,""4"":308,""5"":308,""6"":308,""7"":308,""8"":259,""9"":121}","2","18","6","6","[]","[]",""
"2","9","ar_to_en","approved-only","true","516.5665829999998","32","64","2223","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196}","4","8","24","24","[]","[]",""
"2","11","en_to_ar","approved-only","true","1013.9402499999997","61","85","2000","{""2"":79,""3"":282,""4"":282,""5"":282,""6"":282,""7"":282,""8"":282,""9"":150,""10"":46,""11"":33}","2","32","6","6","[]","[]",""
"2","11","ar_to_en","approved-only","false","4502.309332999997","0","0","2373","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196,""10"":75,""11"":75}","56","52","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","13","en_to_ar","approved-only","false","1806.7175409999982","0","0","2000","{""2"":79,""3"":274,""4"":275,""5"":275,""6"":275,""7"":275,""8"":275,""9"":160,""10"":48,""11"":34,""12"":24,""13"":6}","2","35","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","13","ar_to_en","approved-only","false","4473.934250000006","0","0","2417","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196,""10"":75,""11"":75,""12"":18,""13"":26}","185","47","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","7","en_to_ar","approved-only","true","3.855542000004789","26","35","2000","{""2"":75,""3"":385,""4"":385,""5"":385,""6"":385,""7"":385}","1","0","6","6","[]","[]",""
"3","7","ar_to_en","approved-only","true","11.60233299999527","22","41","1807","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450}","1","0","24","24","[]","[]",""
"3","9","en_to_ar","approved-only","true","20.56658299999981","40","59","2000","{""2"":79,""3"":309,""4"":308,""5"":308,""6"":308,""7"":308,""8"":259,""9"":121}","1","0","6","6","[]","[]",""
"3","9","ar_to_en","approved-only","true","1061.6180840000015","32","64","2223","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196}","7","16","24","24","[]","[]",""
"3","11","en_to_ar","approved-only","true","99.82995800000208","62","87","2000","{""2"":79,""3"":282,""4"":282,""5"":282,""6"":282,""7"":282,""8"":282,""9"":150,""10"":46,""11"":33}","1","0","6","6","[]","[]",""
"3","11","ar_to_en","approved-only","false","4503.200333000001","0","0","2373","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196,""10"":75,""11"":75}","53","45","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","13","en_to_ar","approved-only","false","1807.1123750000042","0","0","2000","{""2"":79,""3"":274,""4"":275,""5"":275,""6"":275,""7"":275,""8"":275,""9"":160,""10"":48,""11"":34,""12"":24,""13"":6}","2","44","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"3","13","ar_to_en","approved-only","false","4519.707875","0","0","2417","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450,""8"":220,""9"":196,""10"":75,""11"":75,""12"":18,""13"":26}","167","40","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
"4","7","en_to_ar","approved-only","true","3.9204160000008414","26","37","2000","{""2"":75,""3"":385,""4"":385,""5"":385,""6"":385,""7"":385}","1","0","6","6","[]","[]",""
"4","7","ar_to_en","approved-only","true","23.133832999999868","22","41","1807","{""2"":15,""3"":180,""4"":381,""5"":386,""6"":395,""7"":450}","1","0","24","24","[]","[]",""
