size,mode,length,beforeIndexed,afterIndexed,beforeUnique,afterUnique,beforeSampledMedian,afterSampledMedian
"7","en_to_ar","2","50","75","42","66","50","75"
"7","en_to_ar","3","406","515","341","432","393","385"
"7","en_to_ar","4","826","1014","730","892","392","385"
"7","en_to_ar","5","798","982","719","880","392","385"
"7","en_to_ar","6","596","735","545","664","392","385"
"7","en_to_ar","7","381","482","353","447","381","385"
"7","en_to_ar","8","0","0","0","0","0","0"
"7","en_to_ar","9","0","0","0","0","0","0"
"7","en_to_ar","10","0","0","0","0","0","0"
"7","en_to_ar","11","0","0","0","0","0","0"
"7","en_to_ar","12","0","0","0","0","0","0"
"7","en_to_ar","13","0","0","0","0","0","0"
"9","en_to_ar","2","54","79","45","69","54","79"
"9","en_to_ar","3","455","572","372","468","332","309"
"9","en_to_ar","4","1001","1199","856","1024","332","308"
"9","en_to_ar","5","1006","1214","875","1048","331","308"
"9","en_to_ar","6","778","927","682","807","331","308"
"9","en_to_ar","7","535","656","478","586","331","308"
"9","en_to_ar","8","201","259","183","236","201","259"
"9","en_to_ar","9","88","121","86","119","88","121"
"9","en_to_ar","10","0","0","0","0","0","0"
"9","en_to_ar","11","0","0","0","0","0","0"
"9","en_to_ar","12","0","0","0","0","0","0"
"9","en_to_ar","13","0","0","0","0","0","0"
"11","en_to_ar","2","54","79","45","69","54","79"
"11","en_to_ar","3","469","589","377","476","313","282"
"11","en_to_ar","4","1035","1235","879","1049","314","282"
"11","en_to_ar","5","1069","1293","921","1106","314","282"
"11","en_to_ar","6","819","977","711","843","314","282"
"11","en_to_ar","7","591","735","526","648","313","282"
"11","en_to_ar","8","219","284","197","256","219","282"
"11","en_to_ar","9","105","150","99","140","105","150"
"11","en_to_ar","10","31","46","30","45","31","46"
"11","en_to_ar","11","23","33","23","33","23","33"
"11","en_to_ar","12","0","0","0","0","0","0"
"11","en_to_ar","13","0","0","0","0","0","0"
"13","en_to_ar","2","54","79","45","69","54","79"
"13","en_to_ar","3","473","593","379","478","305","274"
"13","en_to_ar","4","1044","1244","882","1052","305","275"
"13","en_to_ar","5","1091","1318","940","1127","305","275"
"13","en_to_ar","6","830","989","717","850","305","275"
"13","en_to_ar","7","623","770","550","674","305","275"
"13","en_to_ar","8","228","294","205","265","228","275"
"13","en_to_ar","9","115","160","106","146","115","160"
"13","en_to_ar","10","33","48","31","46","33","48"
"13","en_to_ar","11","24","34","24","34","24","34"
"13","en_to_ar","12","16","24","16","23","16","24"
"13","en_to_ar","13","5","6","5","6","5","6"
"7","ar_to_en","2","15","15","15","15","15","15"
"7","ar_to_en","3","172","180","172","180","172","180"
"7","ar_to_en","4","292","381","292","381","292","381"
"7","ar_to_en","5","282","386","282","386","282","386"
"7","ar_to_en","6","258","395","258","395","258","395"
"7","ar_to_en","7","410","450","410","450","410","450"
"7","ar_to_en","8","0","0","0","0","0","0"
"7","ar_to_en","9","0","0","0","0","0","0"
"7","ar_to_en","10","0","0","0","0","0","0"
"7","ar_to_en","11","0","0","0","0","0","0"
"7","ar_to_en","12","0","0","0","0","0","0"
"7","ar_to_en","13","0","0","0","0","0","0"
"9","ar_to_en","2","15","15","15","15","15","15"
"9","ar_to_en","3","172","180","172","180","172","180"
"9","ar_to_en","4","292","381","292","381","292","381"
"9","ar_to_en","5","282","386","282","386","282","386"
"9","ar_to_en","6","258","395","258","395","258","395"
"9","ar_to_en","7","410","450","410","450","410","450"
"9","ar_to_en","8","178","220","178","220","178","220"
"9","ar_to_en","9","194","196","194","196","194","196"
"9","ar_to_en","10","0","0","0","0","0","0"
"9","ar_to_en","11","0","0","0","0","0","0"
"9","ar_to_en","12","0","0","0","0","0","0"
"9","ar_to_en","13","0","0","0","0","0","0"
"11","ar_to_en","2","15","15","15","15","15","15"
"11","ar_to_en","3","172","180","172","180","172","180"
"11","ar_to_en","4","292","381","292","381","292","381"
"11","ar_to_en","5","282","386","282","386","282","386"
"11","ar_to_en","6","258","395","258","395","258","395"
"11","ar_to_en","7","410","450","410","450","410","450"
"11","ar_to_en","8","178","220","178","220","178","220"
"11","ar_to_en","9","194","196","194","196","194","196"
"11","ar_to_en","10","59","75","59","75","59","75"
"11","ar_to_en","11","57","75","57","75","57","75"
"11","ar_to_en","12","0","0","0","0","0","0"
"11","ar_to_en","13","0","0","0","0","0","0"
"13","ar_to_en","2","15","15","15","15","15","15"
"13","ar_to_en","3","172","180","172","180","172","180"
"13","ar_to_en","4","292","381","292","381","292","381"
"13","ar_to_en","5","282","386","282","386","282","386"
"13","ar_to_en","6","258","395","258","395","258","395"
"13","ar_to_en","7","410","450","410","450","410","450"
"13","ar_to_en","8","178","220","178","220","178","220"
"13","ar_to_en","9","194","196","194","196","194","196"
"13","ar_to_en","10","59","75","59","75","59","75"
"13","ar_to_en","11","57","75","57","75","57","75"
"13","ar_to_en","12","15","18","15","18","15","18"
"13","ar_to_en","13","26","26","26","26","26","26"
